epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.7158,1.8163,3.95009,1.69303,0.00011,0.02669,0.00843,0.00672,2.21717,4.54772,1.5541,0.000466199,0.000466199,0.000466199
2,24.9653,1.50402,2.48761,1.40816,0.56253,0.06347,0.22327,0.1278,2.06079,3.83329,1.53803,0.000937866,0.000937866,0.000937866
3,35.0372,1.44847,2.05168,1.39104,0.55511,0.24687,0.22348,0.13445,2.04995,3.59501,1.56959,0.00140482,0.00140482,0.00140482
4,44.9275,1.43389,1.83556,1.35807,0.45544,0.58383,0.44123,0.23368,1.88495,1.94509,1.43905,0.00140778,0.00140778,0.00140778
5,54.8869,1.38616,1.66218,1.33171,0.42989,0.63646,0.49317,0.28307,1.84406,2.00116,1.35895,0.00140071,0.00140071,0.00140071
6,64.6641,1.36583,1.57679,1.30669,0.48707,0.5382,0.45241,0.25894,1.83164,2.24668,1.36789,0.00139363,0.00139363,0.00139363
7,74.4197,1.35746,1.49626,1.30555,0.47383,0.61601,0.48771,0.27633,1.75145,1.77742,1.31163,0.00138656,0.00138656,0.00138656
8,84.0636,1.34371,1.4589,1.30406,0.40716,0.50148,0.35108,0.19715,1.81194,2.88415,1.38377,0.00137949,0.00137949,0.00137949
9,93.8147,1.35179,1.42808,1.30397,0.34561,0.63513,0.42299,0.24198,1.77708,3.12904,1.34816,0.00137241,0.00137241,0.00137241
10,103.59,1.33324,1.40961,1.27322,0.3436,0.44114,0.16655,0.09101,1.91781,3.5982,1.47345,0.00136534,0.00136534,0.00136534
11,113.354,1.30772,1.39439,1.26578,0.35063,0.64764,0.4471,0.27001,1.7705,2.94703,1.33232,0.00135826,0.00135826,0.00135826
12,123.083,1.3344,1.38136,1.27814,0.55152,0.57061,0.53971,0.30558,1.69276,1.66533,1.2721,0.00135119,0.00135119,0.00135119
13,133.056,1.29716,1.32373,1.27353,0.46402,0.61064,0.5245,0.30902,1.70524,1.95988,1.28557,0.00134412,0.00134412,0.00134412
14,142.651,1.29471,1.32033,1.25812,0.55572,0.59979,0.60771,0.34664,1.73218,1.58817,1.28879,0.00133704,0.00133704,0.00133704
15,152.33,1.28235,1.30784,1.24404,0.53826,0.59575,0.56584,0.33489,1.74811,1.82741,1.31318,0.00132997,0.00132997,0.00132997
16,161.939,1.3111,1.32277,1.24603,0.56407,0.60182,0.55791,0.32783,1.67329,1.61863,1.25922,0.0013229,0.0013229,0.0013229
17,171.631,1.27156,1.27698,1.24389,0.48972,0.63239,0.53884,0.32042,1.69475,1.89381,1.26846,0.00131582,0.00131582,0.00131582
18,181.298,1.27417,1.27584,1.23246,0.61733,0.64897,0.63211,0.36192,1.7231,1.50982,1.28479,0.00130875,0.00130875,0.00130875
19,190.81,1.28245,1.25086,1.24352,0.38372,0.38005,0.10664,0.06502,1.92503,5.4158,1.49076,0.00130168,0.00130168,0.00130168
20,200.554,1.27117,1.25242,1.23491,0.39981,0.66114,0.52192,0.30788,1.72185,2.49062,1.27571,0.0012946,0.0012946,0.0012946
21,210.141,1.26306,1.24719,1.2415,0.44625,0.59812,0.50762,0.30144,1.75788,1.93064,1.30099,0.00128753,0.00128753,0.00128753
22,219.705,1.24692,1.22374,1.2155,0.57831,0.30386,0.31121,0.17217,1.83397,4.37205,1.38896,0.00128046,0.00128046,0.00128046
23,229.341,1.24384,1.2082,1.20963,0.55253,0.67239,0.60512,0.33684,1.70948,1.52765,1.27971,0.00127338,0.00127338,0.00127338
24,238.89,1.25198,1.19538,1.21996,0.4802,0.57267,0.54282,0.31541,1.7339,1.83036,1.30378,0.00126631,0.00126631,0.00126631
25,248.527,1.22908,1.20846,1.21946,0.57249,0.37201,0.33281,0.18055,1.83254,4.60027,1.34359,0.00125923,0.00125923,0.00125923
26,258.219,1.21908,1.17976,1.21278,0.47024,0.70597,0.57913,0.31226,1.71614,1.61464,1.29144,0.00125216,0.00125216,0.00125216
27,268.028,1.23195,1.17503,1.20864,0.63052,0.63038,0.63395,0.37944,1.68192,1.44635,1.27359,0.00124509,0.00124509,0.00124509
28,277.71,1.21978,1.16984,1.20315,0.57902,0.64742,0.63024,0.36419,1.67243,1.43605,1.26225,0.00123801,0.00123801,0.00123801
29,287.38,1.21011,1.16869,1.18713,0.58785,0.54814,0.5702,0.32659,1.67457,1.6353,1.27478,0.00123094,0.00123094,0.00123094
30,296.991,1.20355,1.13889,1.19511,0.43653,0.62593,0.47039,0.27744,1.74022,2.24004,1.32804,0.00122387,0.00122387,0.00122387
31,306.687,1.20622,1.15543,1.18763,0.38172,0.65809,0.4605,0.26624,1.70471,2.74017,1.28474,0.00121679,0.00121679,0.00121679
32,316.415,1.20305,1.13055,1.1886,0.6108,0.65028,0.65613,0.37451,1.64435,1.43847,1.23891,0.00120972,0.00120972,0.00120972
33,326.073,1.19878,1.1226,1.19551,0.57983,0.65947,0.62831,0.36982,1.70788,1.56417,1.29076,0.00120265,0.00120265,0.00120265
34,335.775,1.19434,1.12522,1.18615,0.61427,0.68604,0.66529,0.37152,1.68623,1.45105,1.2568,0.00119557,0.00119557,0.00119557
35,345.327,1.21996,1.13371,1.1972,0.38901,0.5993,0.3963,0.21773,1.7414,2.70861,1.29676,0.0011885,0.0011885,0.0011885
36,354.971,1.1816,1.10543,1.17283,0.53408,0.61107,0.58762,0.33396,1.68854,1.57892,1.27701,0.00118143,0.00118143,0.00118143
37,364.617,1.19246,1.10686,1.17682,0.57153,0.62457,0.63626,0.37254,1.67006,1.4898,1.25209,0.00117435,0.00117435,0.00117435
38,374.368,1.17218,1.10229,1.17063,0.58408,0.56466,0.58425,0.32194,1.74627,1.60585,1.29755,0.00116728,0.00116728,0.00116728
39,384.044,1.16486,1.08423,1.16896,0.62916,0.63425,0.67398,0.38375,1.67408,1.46169,1.24675,0.00116021,0.00116021,0.00116021
40,393.791,1.16399,1.07706,1.15542,0.52556,0.69695,0.61322,0.34655,1.65147,1.44565,1.26311,0.00115313,0.00115313,0.00115313
41,403.832,1.15443,1.08027,1.15979,0.62284,0.6572,0.66521,0.38545,1.67367,1.41158,1.24877,0.00114606,0.00114606,0.00114606
42,413.632,1.1397,1.05225,1.15761,0.55656,0.62767,0.59414,0.33747,1.70644,1.48492,1.2815,0.00113898,0.00113898,0.00113898
43,423.379,1.14873,1.06036,1.15214,0.69941,0.61325,0.65758,0.38304,1.66667,1.4359,1.25359,0.00113191,0.00113191,0.00113191
44,432.874,1.1537,1.05381,1.14948,0.3716,0.63584,0.41257,0.22135,1.7734,2.48244,1.31446,0.00112484,0.00112484,0.00112484
45,442.466,1.12576,1.0253,1.14368,0.59785,0.57594,0.58247,0.34791,1.7537,1.54218,1.30922,0.00111776,0.00111776,0.00111776
46,452.105,1.15172,1.04261,1.15282,0.65554,0.66255,0.67404,0.36765,1.70673,1.39686,1.28774,0.00111069,0.00111069,0.00111069
47,461.915,1.14533,1.01964,1.13549,0.46835,0.46251,0.27082,0.15722,1.8983,4.86882,1.45094,0.00110362,0.00110362,0.00110362
48,471.879,1.13787,1.02341,1.14544,0.36846,0.59882,0.36261,0.19857,1.76028,3.05308,1.33569,0.00109654,0.00109654,0.00109654
49,481.603,1.13748,1.03229,1.14023,0.64441,0.67312,0.66767,0.38853,1.67889,1.37179,1.24721,0.00108947,0.00108947,0.00108947
50,491.556,1.11337,0.9975,1.12758,0.62514,0.64066,0.66251,0.37774,1.70231,1.34345,1.29769,0.0010824,0.0010824,0.0010824
51,501.184,1.12835,1.01387,1.13178,0.55346,0.63279,0.59191,0.3295,1.74958,1.65222,1.30654,0.00107532,0.00107532,0.00107532
52,510.835,1.12015,0.99145,1.1362,0.56945,0.61217,0.57711,0.31669,1.74991,1.68015,1.29746,0.00106825,0.00106825,0.00106825
53,21.1911,1.69302,3.47285,1.55811,0.38336,0.13524,0.03469,0.01509,3.1052,9.27452,2.16633,0.00106118,0.00106118,0.00106118
54,31.2581,1.50492,2.25947,1.41857,0.36002,0.30123,0.13308,0.07781,2.06792,3.02589,1.48907,0.0010541,0.0010541,0.0010541
55,40.9063,1.41901,1.93237,1.35161,0.34285,0.45666,0.34302,0.20332,1.86243,2.91686,1.39584,0.00104703,0.00104703,0.00104703
56,50.6856,1.41946,1.78854,1.32892,0.51151,0.37156,0.29515,0.16196,1.86089,2.78899,1.38561,0.00103995,0.00103995,0.00103995
57,60.3003,1.37476,1.66498,1.31625,0.41892,0.6048,0.42154,0.23009,1.81589,1.90635,1.36853,0.00103288,0.00103288,0.00103288
58,69.942,1.3545,1.59714,1.28912,0.44627,0.61522,0.51158,0.29932,1.74832,1.884,1.33025,0.00102581,0.00102581,0.00102581
59,79.6413,1.33675,1.4993,1.28845,0.40824,0.56022,0.416,0.24403,1.76704,1.8191,1.33337,0.00101873,0.00101873,0.00101873
60,89.2426,1.3333,1.46497,1.28875,0.47171,0.61776,0.53446,0.31676,1.73059,1.69656,1.32167,0.00101166,0.00101166,0.00101166
61,98.9947,1.32218,1.43964,1.26823,0.43207,0.6105,0.51497,0.31204,1.70821,2.02519,1.3013,0.00100459,0.00100459,0.00100459
62,108.499,1.31233,1.4156,1.25489,0.56058,0.61058,0.58598,0.34525,1.6914,1.54963,1.29152,0.000997513,0.000997513,0.000997513
63,118.057,1.30211,1.38952,1.25379,0.34696,0.58125,0.37096,0.21616,1.77439,2.56935,1.33534,0.00099044,0.00099044,0.00099044
64,127.628,1.30242,1.35049,1.24454,0.52455,0.68044,0.55447,0.32432,1.68241,1.64848,1.29902,0.000983366,0.000983366,0.000983366
65,137.366,1.27618,1.31847,1.24764,0.44893,0.54745,0.46607,0.2735,1.70325,2.28799,1.30292,0.000976293,0.000976293,0.000976293
66,147.09,1.27259,1.3085,1.23836,0.53744,0.63912,0.63339,0.37838,1.64339,1.5639,1.27904,0.000969219,0.000969219,0.000969219
67,156.773,1.25687,1.30329,1.22298,0.55117,0.66798,0.63466,0.36684,1.70546,1.5642,1.31406,0.000962146,0.000962146,0.000962146
68,166.546,1.28293,1.31691,1.22055,0.53472,0.61215,0.57203,0.33053,1.70611,1.60207,1.2736,0.000955072,0.000955072,0.000955072
69,176.491,1.25423,1.27395,1.22008,0.54408,0.66757,0.62039,0.36723,1.67148,1.58531,1.25417,0.000947999,0.000947999,0.000947999
70,186.177,1.26369,1.27844,1.21724,0.43579,0.59115,0.48868,0.29019,1.66795,2.1809,1.28695,0.000940925,0.000940925,0.000940925
71,195.759,1.25851,1.24661,1.21593,0.55546,0.63671,0.6276,0.3671,1.65828,1.5262,1.2566,0.000933851,0.000933851,0.000933851
72,205.339,1.25688,1.24975,1.2163,0.54292,0.7173,0.62436,0.36707,1.65209,1.4397,1.25207,0.000926778,0.000926778,0.000926778
73,214.954,1.23498,1.24162,1.21479,0.45687,0.5451,0.49336,0.29205,1.67526,2.47654,1.27599,0.000919704,0.000919704,0.000919704
74,224.6,1.22718,1.20874,1.19708,0.55501,0.33609,0.30076,0.17078,1.74447,4.38528,1.32831,0.000912631,0.000912631,0.000912631
75,234.114,1.22204,1.19296,1.18896,0.49504,0.55372,0.52101,0.29896,1.6936,1.92817,1.29035,0.000905557,0.000905557,0.000905557
76,243.885,1.21414,1.18137,1.18303,0.56664,0.73013,0.64073,0.38142,1.66408,1.60926,1.25184,0.000898484,0.000898484,0.000898484
77,253.479,1.21511,1.19294,1.19552,0.59995,0.72602,0.65888,0.39681,1.61561,1.42644,1.236,0.00089141,0.00089141,0.00089141
78,263.161,1.19822,1.16781,1.18703,0.4309,0.59731,0.45099,0.26395,1.65184,2.31036,1.2699,0.000884337,0.000884337,0.000884337
79,272.832,1.21778,1.1683,1.18561,0.61933,0.64182,0.66032,0.39769,1.66282,1.38272,1.2601,0.000877263,0.000877263,0.000877263
80,282.502,1.19639,1.16612,1.17631,0.60548,0.67855,0.6671,0.39236,1.6317,1.37089,1.23247,0.00087019,0.00087019,0.00087019
81,292.235,1.20011,1.1513,1.17218,0.47155,0.58394,0.48937,0.28531,1.67215,2.0824,1.27429,0.000863116,0.000863116,0.000863116
82,301.804,1.17821,1.12202,1.16421,0.55682,0.67435,0.62621,0.37232,1.63368,1.50805,1.25332,0.000856042,0.000856042,0.000856042
83,311.409,1.18603,1.13016,1.1661,0.57747,0.71525,0.67618,0.40749,1.64539,1.40149,1.24951,0.000848969,0.000848969,0.000848969
84,321.05,1.181,1.12246,1.16135,0.61111,0.69025,0.67182,0.3873,1.62487,1.36456,1.21983,0.000841895,0.000841895,0.000841895
85,330.76,1.18355,1.12205,1.16987,0.52722,0.59384,0.58649,0.34873,1.66595,1.70152,1.25226,0.000834822,0.000834822,0.000834822
86,340.429,1.17326,1.10731,1.15122,0.57459,0.61401,0.63263,0.34998,1.67052,1.49076,1.26389,0.000827748,0.000827748,0.000827748
87,350.029,1.19178,1.11313,1.15914,0.46547,0.64274,0.56383,0.32944,1.63862,1.88445,1.24081,0.000820675,0.000820675,0.000820675
88,359.504,1.15671,1.09135,1.14424,0.4991,0.58702,0.5248,0.29703,1.64679,2.00974,1.25872,0.000813601,0.000813601,0.000813601
89,369.056,1.16266,1.09073,1.14224,0.66944,0.60047,0.66092,0.3802,1.69327,1.42626,1.25466,0.000806528,0.000806528,0.000806528
90,378.548,1.16723,1.08434,1.14572,0.63148,0.64081,0.66813,0.39765,1.63661,1.36784,1.22916,0.000799454,0.000799454,0.000799454
91,388.108,1.15096,1.06265,1.14105,0.63927,0.66693,0.6697,0.38317,1.6903,1.51925,1.24347,0.00079238,0.00079238,0.00079238
92,397.658,1.1479,1.04943,1.13212,0.42088,0.63073,0.5196,0.29257,1.70679,2.20896,1.26075,0.000785307,0.000785307,0.000785307
93,407.245,1.1427,1.07214,1.1329,0.59571,0.65599,0.66076,0.38778,1.63996,1.43319,1.23445,0.000778233,0.000778233,0.000778233
94,416.859,1.12469,1.03407,1.1238,0.59034,0.62664,0.61697,0.35196,1.6501,1.4719,1.23602,0.00077116,0.00077116,0.00077116
95,426.765,1.12602,1.0415,1.11735,0.57115,0.63277,0.64196,0.36821,1.66584,1.52136,1.23326,0.000764086,0.000764086,0.000764086
96,436.41,1.13089,1.037,1.11429,0.58892,0.71265,0.67937,0.39397,1.63611,1.37671,1.23025,0.000757013,0.000757013,0.000757013
97,446.076,1.10578,1.01595,1.11142,0.5723,0.70027,0.6489,0.37719,1.67405,1.35131,1.24065,0.000749939,0.000749939,0.000749939
98,455.645,1.13402,1.02025,1.11666,0.64942,0.67264,0.68518,0.38966,1.6523,1.31938,1.23111,0.000742866,0.000742866,0.000742866
99,465.437,1.12426,1.00019,1.10442,0.59242,0.71069,0.6746,0.39841,1.61535,1.35496,1.21496,0.000735792,0.000735792,0.000735792
100,475.052,1.11716,1.00854,1.10989,0.56177,0.6471,0.61464,0.36632,1.66338,1.48875,1.24915,0.000728719,0.000728719,0.000728719
101,484.676,1.11967,1.00686,1.11382,0.60468,0.62333,0.64678,0.36629,1.61515,1.36431,1.2163,0.000721645,0.000721645,0.000721645
102,494.224,1.09933,0.98497,1.09921,0.64886,0.6444,0.66544,0.38314,1.61569,1.34319,1.20949,0.000714571,0.000714571,0.000714571
103,503.937,1.11146,0.98918,1.09945,0.59344,0.6621,0.65437,0.37153,1.67882,1.36097,1.24213,0.000707498,0.000707498,0.000707498
104,513.516,1.09071,0.96477,1.09817,0.5043,0.58182,0.55781,0.31943,1.70347,1.71734,1.26184,0.000700424,0.000700424,0.000700424
105,523.157,1.08935,0.9762,1.09217,0.59646,0.65362,0.6341,0.36795,1.63975,1.44709,1.21017,0.000693351,0.000693351,0.000693351
106,532.732,1.08031,0.9434,1.08715,0.58881,0.70705,0.64996,0.38071,1.6288,1.31432,1.2205,0.000686277,0.000686277,0.000686277
107,542.452,1.08416,0.95336,1.09245,0.63855,0.62941,0.65383,0.3863,1.64384,1.33879,1.24368,0.000679204,0.000679204,0.000679204
108,552.072,1.08359,0.95678,1.08148,0.59737,0.67712,0.656,0.37539,1.6475,1.34468,1.21893,0.00067213,0.00067213,0.00067213
109,561.33,1.09127,0.94002,1.08504,0.61352,0.57526,0.5846,0.34147,1.6672,1.6443,1.24125,0.000665057,0.000665057,0.000665057
110,571.184,1.06132,0.92238,1.08431,0.61227,0.66379,0.66254,0.37331,1.6943,1.33713,1.25205,0.000657983,0.000657983,0.000657983
111,580.974,1.06676,0.9282,1.07178,0.62492,0.65812,0.63709,0.37008,1.65574,1.35785,1.22941,0.000650909,0.000650909,0.000650909
112,590.605,1.05835,0.90422,1.07675,0.63339,0.69143,0.6554,0.36731,1.64822,1.39165,1.22941,0.000643836,0.000643836,0.000643836
113,600.278,1.07874,0.91656,1.07698,0.58599,0.67767,0.63109,0.3554,1.64687,1.42591,1.23228,0.000636762,0.000636762,0.000636762
