epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.3041,1.76819,3.85253,1.47434,0.00043,0.11015,0.04327,0.02963,2.11415,4.53878,1.4936,0.000466199,0.000466199,0.000466199
2,36.0025,1.49415,2.42464,1.2181,0.83842,0.025,0.06069,0.03465,2.62708,4.31774,1.80468,0.00092387,0.00092387,0.00092387
3,46.2363,1.44847,2.02322,1.20073,0.48824,0.41021,0.23261,0.14229,2.07063,4.34463,1.43156,0.00136268,0.00136268,0.00136268
4,56.5878,1.41999,1.81244,1.1772,0.25096,0.48387,0.27311,0.16009,1.94436,2.77156,1.30811,0.00134412,0.00134412,0.00134412
5,66.5512,1.37959,1.66894,1.16065,0.44069,0.55571,0.44,0.26095,1.79643,1.82805,1.1968,0.00131582,0.00131582,0.00131582
6,76.4075,1.36398,1.55116,1.14862,0.49528,0.69436,0.51106,0.30176,1.7875,2.27631,1.19874,0.00128753,0.00128753,0.00128753
7,86.2154,1.34358,1.47065,1.13977,0.50404,0.50658,0.48153,0.27067,1.72713,1.77809,1.15494,0.00125923,0.00125923,0.00125923
8,95.8084,1.33417,1.44519,1.14361,0.71241,0.35445,0.50125,0.28486,1.71922,2.46235,1.1748,0.00123094,0.00123094,0.00123094
9,105.427,1.33441,1.40835,1.13993,0.48955,0.63958,0.53718,0.31387,1.65461,1.59625,1.13895,0.00120265,0.00120265,0.00120265
10,115.149,1.32312,1.39734,1.11609,0.53592,0.61761,0.53847,0.304,1.69362,1.65738,1.15367,0.00117435,0.00117435,0.00117435
11,124.911,1.29491,1.3569,1.11402,0.44352,0.60832,0.46612,0.27756,1.6679,2.27521,1.16275,0.00114606,0.00114606,0.00114606
12,134.899,1.29873,1.32693,1.10812,0.58523,0.64916,0.62403,0.36639,1.63686,1.48777,1.14317,0.00111776,0.00111776,0.00111776
13,144.525,1.27926,1.28178,1.10948,0.57022,0.6809,0.60992,0.37116,1.64978,1.54861,1.11759,0.00108947,0.00108947,0.00108947
14,154.349,1.26775,1.28178,1.10172,0.57355,0.62703,0.64232,0.38336,1.66298,1.52612,1.14997,0.00106118,0.00106118,0.00106118
15,164.157,1.26106,1.26864,1.09635,0.51154,0.66369,0.616,0.36298,1.68332,1.60381,1.14792,0.00103288,0.00103288,0.00103288
16,174.034,1.29002,1.26101,1.10208,0.49856,0.32003,0.21388,0.12841,1.8581,4.84426,1.27702,0.00100459,0.00100459,0.00100459
17,183.778,1.24902,1.2223,1.09392,0.51163,0.63517,0.61539,0.36458,1.69979,1.61191,1.14439,0.000976293,0.000976293,0.000976293
18,193.571,1.24842,1.21452,1.08288,0.58926,0.61213,0.64512,0.38631,1.65187,1.43742,1.13765,0.000947999,0.000947999,0.000947999
19,203.574,1.24674,1.20111,1.08297,0.4678,0.5799,0.50733,0.2988,1.66942,1.8145,1.14903,0.000919704,0.000919704,0.000919704
20,213.384,1.2385,1.2014,1.08189,0.58305,0.70728,0.64289,0.38082,1.6293,1.54394,1.12708,0.00089141,0.00089141,0.00089141
21,223.188,1.22469,1.1861,1.08207,0.50809,0.37105,0.25472,0.1549,1.74821,5.45747,1.21751,0.000863116,0.000863116,0.000863116
22,233.18,1.21204,1.16937,1.06685,0.41411,0.63103,0.48635,0.27772,1.61519,2.46871,1.13272,0.000834822,0.000834822,0.000834822
23,243.029,1.20769,1.14365,1.06593,0.617,0.65482,0.66602,0.38926,1.66521,1.36408,1.13315,0.000806528,0.000806528,0.000806528
24,252.829,1.20035,1.1304,1.05963,0.58912,0.68792,0.65791,0.38567,1.61658,1.42676,1.12342,0.000778233,0.000778233,0.000778233
25,262.733,1.1943,1.12786,1.06328,0.59318,0.69883,0.67143,0.38103,1.6229,1.38137,1.12144,0.000749939,0.000749939,0.000749939
26,272.862,1.1781,1.11775,1.06432,0.6095,0.67656,0.65944,0.38624,1.60718,1.36981,1.11029,0.000721645,0.000721645,0.000721645
27,282.763,1.18662,1.1018,1.05279,0.55525,0.70463,0.64134,0.38412,1.63854,1.45312,1.1325,0.000693351,0.000693351,0.000693351
28,292.628,1.17254,1.09447,1.05356,0.60996,0.67635,0.67464,0.39339,1.65702,1.37687,1.13389,0.000665057,0.000665057,0.000665057
29,302.506,1.16817,1.09386,1.04812,0.58195,0.70419,0.68001,0.3972,1.64427,1.32052,1.13095,0.000636762,0.000636762,0.000636762
30,312.365,1.1459,1.04996,1.04484,0.58659,0.69719,0.67125,0.39253,1.61338,1.38335,1.11944,0.000608468,0.000608468,0.000608468
