epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.6821,1.62657,3.05262,1.3884,0.26889,0.41864,0.2456,0.134,2.18881,2.71618,1.37767,0.000470226,0.000470226,0.000470226
2,76.9712,1.42182,1.78741,1.25287,0.19972,0.40759,0.136,0.06425,2.13982,4.94627,1.42317,0.000941874,0.000941874,0.000941874
3,108.367,1.44177,1.69281,1.26556,0.35903,0.26595,0.12766,0.06054,2.37674,4.72342,1.51413,0.00140881,0.00140881,0.00140881
4,138.991,1.42256,1.59465,1.26605,0.44348,0.42903,0.39102,0.20548,1.86838,3.05929,1.31207,0.00140778,0.00140778,0.00140778
5,170.586,1.39399,1.49988,1.26955,0.42621,0.32368,0.1382,0.07088,2.1697,5.30661,1.4866,0.00140071,0.00140071,0.00140071
6,201.449,1.36641,1.43903,1.23854,0.51703,0.65398,0.56573,0.30989,1.80043,1.82909,1.2966,0.00139363,0.00139363,0.00139363
7,232.578,1.33345,1.3961,1.22886,0.5259,0.65722,0.56415,0.32183,1.74417,1.90967,1.24762,0.00138656,0.00138656,0.00138656
8,264.191,1.31132,1.34875,1.22356,0.45682,0.29135,0.14307,0.07581,2.2759,4.98098,1.55624,0.00137949,0.00137949,0.00137949
9,293.492,1.32138,1.35029,1.23083,0.4713,0.61647,0.50205,0.28964,1.6682,1.87928,1.26924,0.00137241,0.00137241,0.00137241
10,324.363,1.3046,1.29382,1.20258,0.54279,0.52001,0.48589,0.2585,1.78504,1.91043,1.28554,0.00136534,0.00136534,0.00136534
11,355.515,1.2945,1.27867,1.20571,0.59484,0.66621,0.64045,0.38961,1.67191,1.57342,1.22403,0.00135826,0.00135826,0.00135826
12,387.388,1.28353,1.24874,1.19968,0.54611,0.60958,0.56874,0.31611,1.68568,1.57247,1.23,0.00135119,0.00135119,0.00135119
13,416.688,1.26364,1.21929,1.20139,0.56929,0.69652,0.62642,0.38123,1.68096,1.63588,1.22935,0.00134412,0.00134412,0.00134412
14,447.399,1.2453,1.21352,1.19586,0.62214,0.66703,0.67595,0.3956,1.66842,1.5635,1.23897,0.00133704,0.00133704,0.00133704
15,478.857,1.24608,1.17432,1.18664,0.3941,0.41086,0.23976,0.13693,1.85603,3.71694,1.32262,0.00132997,0.00132997,0.00132997
16,508.334,1.26203,1.19791,1.18448,0.65575,0.66902,0.6544,0.3941,1.64673,1.47935,1.23235,0.0013229,0.0013229,0.0013229
17,538.814,1.23648,1.16127,1.18243,0.55306,0.61864,0.59079,0.34357,1.6505,1.78921,1.21766,0.00131582,0.00131582,0.00131582
18,569.521,1.21433,1.14835,1.17117,0.65069,0.67714,0.65368,0.38499,1.62924,1.53832,1.20359,0.00130875,0.00130875,0.00130875
19,599.497,1.20068,1.11725,1.15524,0.5651,0.65162,0.62328,0.3735,1.69529,1.47371,1.21105,0.00130168,0.00130168,0.00130168
