epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.3925,1.8509,3.86196,1.46597,0.00024,0.05141,0.01503,0.01243,2.40299,4.78022,1.68718,0.000466199,0.000466199,0.000466199
2,49.852,1.52415,2.38145,1.21783,0.50467,0.30189,0.24242,0.13978,2.13065,3.44293,1.36457,0.000937866,0.000937866,0.000937866
3,66.7333,1.52541,2.03859,1.20749,0.59624,0.45808,0.30235,0.18169,2.15855,3.79825,1.36391,0.00140482,0.00140482,0.00140482
4,84.6359,1.47815,1.82636,1.17818,0.36027,0.40375,0.23746,0.13718,2.08981,3.53356,1.38868,0.00140778,0.00140778,0.00140778
5,102.453,1.45014,1.65713,1.16975,0.19306,0.67069,0.18118,0.1062,1.85082,4.97962,1.22374,0.00140071,0.00140071,0.00140071
6,118.978,1.41246,1.56247,1.15706,0.3422,0.58809,0.38047,0.21489,1.79505,2.25391,1.20247,0.00139363,0.00139363,0.00139363
7,134.552,1.40465,1.50465,1.15366,0.33597,0.56981,0.24606,0.133,1.81057,3.02607,1.20875,0.00138656,0.00138656,0.00138656
8,151.034,1.40947,1.47989,1.1462,0.50938,0.60115,0.54198,0.31605,1.80578,1.84128,1.17042,0.00137949,0.00137949,0.00137949
9,168.099,1.35901,1.42423,1.13023,0.59432,0.59835,0.57825,0.33573,1.75012,1.56846,1.15415,0.00137241,0.00137241,0.00137241
10,185.622,1.3507,1.38809,1.12818,0.41841,0.38446,0.11971,0.05768,2.13318,7.55318,1.39952,0.00136534,0.00136534,0.00136534
11,202.81,1.35592,1.36726,1.12435,0.42978,0.60997,0.50994,0.28897,1.74177,1.82611,1.16341,0.00135826,0.00135826,0.00135826
12,220.436,1.35859,1.35855,1.13007,0.50216,0.69877,0.60307,0.3657,1.72989,1.69007,1.14146,0.00135119,0.00135119,0.00135119
13,235.923,1.33718,1.32793,1.11587,0.60643,0.64829,0.61786,0.35868,1.74447,1.68599,1.1546,0.00134412,0.00134412,0.00134412
14,252.814,1.32021,1.3177,1.11355,0.37379,0.49936,0.31704,0.1634,1.89964,3.37127,1.2689,0.00133704,0.00133704,0.00133704
15,269.273,1.31752,1.287,1.11648,0.57149,0.65705,0.63565,0.38142,1.69505,1.4345,1.12338,0.00132997,0.00132997,0.00132997
16,284.921,1.31355,1.26605,1.09808,0.47834,0.45603,0.38359,0.22318,1.75294,2.53096,1.19281,0.0013229,0.0013229,0.0013229
17,301.48,1.3107,1.26581,1.10595,0.41712,0.58276,0.42158,0.22532,1.82658,2.21221,1.215,0.00131582,0.00131582,0.00131582
18,319.169,1.31702,1.25932,1.10334,0.43106,0.56094,0.36542,0.22425,1.80274,3.11325,1.19533,0.00130875,0.00130875,0.00130875
19,335.595,1.31101,1.2409,1.09847,0.54432,0.70181,0.64419,0.3835,1.70802,1.55909,1.11879,0.00130168,0.00130168,0.00130168
20,352.524,1.28752,1.22491,1.09794,0.5752,0.62615,0.58872,0.33563,1.74247,1.57044,1.14839,0.0012946,0.0012946,0.0012946
21,369.644,1.28435,1.21615,1.08906,0.47641,0.33059,0.15767,0.09499,1.92348,7.09053,1.29769,0.00128753,0.00128753,0.00128753
22,386.042,1.25613,1.17942,1.08349,0.47108,0.63519,0.57836,0.34334,1.67144,1.72177,1.13573,0.00128046,0.00128046,0.00128046
23,401.656,1.27865,1.19471,1.08762,0.60586,0.66432,0.65103,0.39609,1.67168,1.44629,1.12494,0.00127338,0.00127338,0.00127338
24,418.404,1.27257,1.18904,1.08572,0.59478,0.63961,0.63894,0.38411,1.69938,1.44966,1.14427,0.00126631,0.00126631,0.00126631
25,435.483,1.27965,1.18078,1.09166,0.5985,0.60042,0.63072,0.36129,1.73346,1.44769,1.15501,0.00125923,0.00125923,0.00125923
26,452.943,1.26516,1.14699,1.08303,0.61564,0.67073,0.6345,0.38469,1.71447,1.50964,1.13479,0.00125216,0.00125216,0.00125216
27,469.373,1.25626,1.16803,1.0739,0.50953,0.5231,0.47889,0.27681,1.99378,2.26908,1.28004,0.00124509,0.00124509,0.00124509
28,485.457,1.24542,1.16684,1.06921,0.53203,0.63984,0.64253,0.38841,1.68162,1.46506,1.13677,0.00123801,0.00123801,0.00123801
29,501.222,1.24657,1.14893,1.07419,0.36582,0.42239,0.23886,0.14179,1.89816,4.7631,1.27199,0.00123094,0.00123094,0.00123094
30,518.648,1.23164,1.14042,1.06774,0.42658,0.53212,0.38698,0.23071,1.80515,2.91525,1.2075,0.00122387,0.00122387,0.00122387
31,535.873,1.23384,1.13434,1.06429,0.58491,0.68762,0.64869,0.37158,1.71452,1.42014,1.12968,0.00121679,0.00121679,0.00121679
32,552.383,1.22944,1.12715,1.06377,0.6136,0.67536,0.66098,0.39242,1.67539,1.4133,1.1306,0.00120972,0.00120972,0.00120972
33,570.365,1.22444,1.1133,1.06026,0.40002,0.61135,0.46461,0.26665,1.70367,2.4185,1.14809,0.00120265,0.00120265,0.00120265
34,588.319,1.22112,1.08175,1.05548,0.61829,0.60448,0.62874,0.36548,1.75448,1.52903,1.16556,0.00119557,0.00119557,0.00119557
35,605.401,1.22778,1.11133,1.05601,0.46479,0.59478,0.48259,0.29002,1.72015,2.26998,1.16195,0.0011885,0.0011885,0.0011885
36,621.551,1.21009,1.07933,1.05812,0.48239,0.57708,0.57134,0.32952,1.72004,1.85695,1.16208,0.00118143,0.00118143,0.00118143
37,637.971,1.20913,1.06446,1.05428,0.58629,0.63551,0.65758,0.39103,1.69343,1.59132,1.14745,0.00117435,0.00117435,0.00117435
38,654.547,1.22617,1.09033,1.05611,0.385,0.59488,0.44902,0.25517,1.7344,2.4166,1.15616,0.00116728,0.00116728,0.00116728
39,671.437,1.24092,1.09736,1.05119,0.60595,0.64185,0.64473,0.38187,1.68693,1.4087,1.1397,0.00116021,0.00116021,0.00116021
40,688.73,1.20842,1.072,1.04816,0.58824,0.6171,0.62078,0.37231,1.72221,1.55354,1.19461,0.00115313,0.00115313,0.00115313
41,705.98,1.19887,1.08402,1.05023,0.63365,0.67266,0.66271,0.38779,1.69974,1.4097,1.14682,0.00114606,0.00114606,0.00114606
42,722.406,1.20987,1.04719,1.05155,0.61489,0.67365,0.66738,0.38889,1.74555,1.4074,1.1591,0.00113898,0.00113898,0.00113898
43,738.338,1.19779,1.04035,1.0447,0.4633,0.53447,0.50181,0.27407,1.77228,2.54432,1.19241,0.00113191,0.00113191,0.00113191
44,754.306,1.18305,1.03686,1.03913,0.59549,0.66375,0.64798,0.36927,1.67883,1.37372,1.14053,0.00112484,0.00112484,0.00112484
