epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.2518,2.46427,4.73298,3.32755,0.41257,0.45146,0.30643,0.13231,2.2101,3.31348,2.43966,0.000474807,0.000474807,0.000474807
2,95.113,1.78409,2.99703,2.30312,0.09204,0.23737,0.0733,0.03336,2.20014,3.39408,2.29271,0.000951082,0.000951082,0.000951082
3,140.126,1.68995,2.5102,2.13258,0.34449,0.48678,0.31,0.15631,1.96045,2.69719,2.05531,0.00142712,0.00142712,0.00142712
4,185.237,1.64057,2.23394,2.03305,0.46053,0.54004,0.42016,0.22932,1.86911,2.1403,1.94919,0.00142821,0.00142821,0.00142821
5,228.94,1.60752,2.00761,1.95633,0.42378,0.49964,0.3843,0.19999,1.84834,2.06126,1.90259,0.0014276,0.0014276,0.0014276
6,274.087,1.54246,1.87303,1.8908,0.46664,0.58912,0.47052,0.24464,1.80184,1.85144,1.85835,0.00142682,0.00142682,0.00142682
7,319.468,1.52191,1.80479,1.86528,0.36743,0.59797,0.4359,0.2415,1.81273,2.24964,1.86832,0.00142586,0.00142586,0.00142586
8,365.032,1.4743,1.71608,1.82957,0.34583,0.59341,0.4173,0.23705,1.75014,2.52485,1.84445,0.00142473,0.00142473,0.00142473
9,410.122,1.47358,1.66951,1.80766,0.25931,0.63561,0.31389,0.17981,1.86769,2.93124,1.90907,0.00142342,0.00142342,0.00142342
10,455.403,1.45887,1.65901,1.78941,0.48518,0.59276,0.5087,0.27273,1.77041,1.76287,1.84578,0.00142194,0.00142194,0.00142194
11,500.843,1.46547,1.65416,1.80308,0.33899,0.46247,0.293,0.16626,1.79572,2.74533,1.85852,0.00142029,0.00142029,0.00142029
12,545.812,1.43184,1.59792,1.75406,0.55687,0.58735,0.54087,0.31253,1.70672,1.73965,1.7546,0.00141847,0.00141847,0.00141847
