epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.2194,1.60355,2.85925,1.38256,0.1275,0.3425,0.08753,0.03636,2.26844,9.06836,1.53907,0.000470226,0.000470226,0.000470226
2,66.0069,1.40971,1.78168,1.25104,0.32881,0.48104,0.28692,0.16607,2.08933,3.81809,1.45225,0.000941874,0.000941874,0.000941874
3,95.8894,1.44396,1.71513,1.26787,0.58726,0.31441,0.20753,0.12073,3.48774,10.8016,5.27709,0.00140881,0.00140881,0.00140881
4,125.296,1.41333,1.5922,1.26574,0.49858,0.45208,0.37584,0.20208,1.98901,2.2639,1.35082,0.00140778,0.00140778,0.00140778
5,154.895,1.38766,1.4836,1.26436,0.33817,0.51863,0.40911,0.21598,1.98389,2.23177,1.36579,0.00140071,0.00140071,0.00140071
6,184.717,1.34811,1.45291,1.23024,0.48019,0.61879,0.52464,0.29745,1.75478,1.97185,1.27408,0.00139363,0.00139363,0.00139363
7,214.484,1.32699,1.37713,1.22213,0.42437,0.4405,0.32384,0.16785,1.89545,3.32725,1.3163,0.00138656,0.00138656,0.00138656
8,243.788,1.30598,1.34896,1.22504,0.67076,0.59162,0.60871,0.34714,1.82674,1.7552,1.33556,0.00137949,0.00137949,0.00137949
9,273.199,1.29563,1.33559,1.21493,0.54588,0.65327,0.57958,0.32298,1.70645,1.50939,1.25933,0.00137241,0.00137241,0.00137241
10,302.497,1.28922,1.28162,1.19475,0.52494,0.61782,0.53803,0.31268,1.71643,2.03234,1.22239,0.00136534,0.00136534,0.00136534
11,331.902,1.27919,1.30176,1.19716,0.58896,0.49296,0.5308,0.31557,1.718,2.19367,1.2327,0.00135826,0.00135826,0.00135826
12,361.358,1.28658,1.24597,1.19868,0.56519,0.65611,0.64714,0.38854,1.62288,1.52593,1.19958,0.00135119,0.00135119,0.00135119
13,391.038,1.25112,1.21176,1.19648,0.58852,0.56984,0.63062,0.37225,1.71033,1.75273,1.24877,0.00134412,0.00134412,0.00134412
14,420.414,1.23013,1.18529,1.18904,0.60208,0.62775,0.59063,0.33044,1.73032,1.49831,1.26552,0.00133704,0.00133704,0.00133704
15,449.703,1.24164,1.16707,1.18582,0.54945,0.62027,0.56383,0.32684,1.61913,1.46049,1.20648,0.00132997,0.00132997,0.00132997
16,479.168,1.24011,1.16617,1.17805,0.44478,0.5605,0.4774,0.27849,1.7588,2.36026,1.28259,0.0013229,0.0013229,0.0013229
17,508.496,1.21449,1.14247,1.17799,0.59761,0.68721,0.63541,0.36387,1.66546,1.48749,1.24014,0.00131582,0.00131582,0.00131582
18,537.768,1.2004,1.13611,1.16632,0.57644,0.68258,0.62932,0.36395,1.62262,1.51676,1.21946,0.00130875,0.00130875,0.00130875
19,567.13,1.201,1.11146,1.16801,0.64894,0.60904,0.64048,0.38703,1.6684,1.39621,1.22511,0.00130168,0.00130168,0.00130168
20,596.521,1.19283,1.10945,1.16198,0.63075,0.67415,0.67756,0.39164,1.59185,1.37165,1.20901,0.0012946,0.0012946,0.0012946
21,626.221,1.19292,1.08726,1.1679,0.55175,0.59468,0.5535,0.31275,1.6884,1.79466,1.237,0.00128753,0.00128753,0.00128753
22,655.443,1.1802,1.08899,1.15622,0.65084,0.70303,0.69361,0.41655,1.60389,1.34253,1.20315,0.00128046,0.00128046,0.00128046
23,684.974,1.15911,1.06103,1.13567,0.63287,0.69198,0.67715,0.42257,1.64863,1.63017,1.21366,0.00127338,0.00127338,0.00127338
24,714.63,1.15104,1.04278,1.14306,0.46272,0.60812,0.55955,0.31983,1.6959,1.96379,1.26239,0.00126631,0.00126631,0.00126631
25,744.003,1.14454,1.02952,1.13616,0.57695,0.67853,0.66449,0.3893,1.66205,1.4219,1.23268,0.00125923,0.00125923,0.00125923
26,773.332,1.13356,1.00852,1.13229,0.61532,0.6761,0.67501,0.39564,1.67826,1.39451,1.23192,0.00125216,0.00125216,0.00125216
27,802.624,1.12879,0.99847,1.12613,0.62194,0.67231,0.6522,0.37821,1.6866,1.32915,1.23469,0.00124509,0.00124509,0.00124509
28,831.856,1.12928,1.00852,1.13348,0.66564,0.67393,0.69835,0.41717,1.6521,1.30721,1.23678,0.00123801,0.00123801,0.00123801
29,861.186,1.12086,0.98935,1.11482,0.6082,0.61656,0.62201,0.36837,1.66026,1.51003,1.2448,0.00123094,0.00123094,0.00123094
30,890.468,1.09919,0.96297,1.1196,0.70958,0.65078,0.7068,0.42072,1.71376,1.35254,1.24939,0.00122387,0.00122387,0.00122387
31,919.701,1.0948,0.97247,1.1124,0.65957,0.64799,0.66215,0.3795,1.72527,1.36358,1.25847,0.00121679,0.00121679,0.00121679
32,948.946,1.08737,0.93394,1.10183,0.64513,0.66665,0.67362,0.40068,1.64375,1.3846,1.2144,0.00120972,0.00120972,0.00120972
33,978.317,1.07959,0.92947,1.10837,0.6266,0.62179,0.64066,0.38626,1.6147,1.50952,1.22507,0.00120265,0.00120265,0.00120265
34,1007.63,1.08432,0.92727,1.10467,0.49504,0.5813,0.52035,0.31069,1.65209,1.85163,1.23852,0.00119557,0.00119557,0.00119557
35,1036.86,1.08228,0.92465,1.10308,0.62272,0.63377,0.64022,0.37147,1.68754,1.54057,1.26024,0.0011885,0.0011885,0.0011885
36,1066.15,1.05931,0.9089,1.09163,0.61416,0.68168,0.66742,0.38467,1.68239,1.29058,1.24323,0.00118143,0.00118143,0.00118143
37,1095.42,1.04697,0.88826,1.09595,0.67154,0.68834,0.67962,0.40233,1.61892,1.36052,1.22392,0.00117435,0.00117435,0.00117435
38,1124.76,1.049,0.87811,1.08627,0.69204,0.70086,0.67243,0.4003,1.6656,1.38513,1.23494,0.00116728,0.00116728,0.00116728
39,1154.18,1.04107,0.86475,1.08151,0.65584,0.66332,0.68266,0.40722,1.66909,1.41697,1.2259,0.00116021,0.00116021,0.00116021
40,1183.52,1.01966,0.863,1.06519,0.45599,0.52356,0.41808,0.24411,1.74972,2.71946,1.29607,0.00115313,0.00115313,0.00115313
41,1212.8,1.02965,0.84384,1.07409,0.66044,0.66101,0.65732,0.39989,1.68383,1.45306,1.25716,0.00114606,0.00114606,0.00114606
42,1241.96,1.0158,0.83121,1.07465,0.6563,0.65835,0.65086,0.38561,1.72478,1.40054,1.28301,0.00113898,0.00113898,0.00113898
43,1271.24,1.01791,0.82046,1.06784,0.62557,0.73913,0.68686,0.40605,1.7665,1.26886,1.26794,0.00113191,0.00113191,0.00113191
44,1300.6,1.00736,0.79011,1.05848,0.65569,0.70462,0.68396,0.40706,1.66473,1.35382,1.22473,0.00112484,0.00112484,0.00112484
45,1329.85,0.99308,0.7953,1.06077,0.61185,0.68755,0.6608,0.38924,1.7313,1.39079,1.28221,0.00111776,0.00111776,0.00111776
46,1359.14,0.98952,0.78742,1.05256,0.58671,0.5869,0.578,0.33008,1.81359,1.50449,1.33619,0.00111069,0.00111069,0.00111069
47,1388.53,0.99412,0.77169,1.05302,0.63699,0.70278,0.67238,0.38104,1.74362,1.33043,1.27939,0.00110362,0.00110362,0.00110362
48,1417.92,0.98226,0.76855,1.05128,0.62944,0.70448,0.65944,0.38723,1.70266,1.37905,1.25108,0.00109654,0.00109654,0.00109654
