epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.1609,1.82892,3.9941,1.67175,0.0002,0.04511,3e-05,1e-05,2.16775,4.82707,1.64517,0.000466199,0.000466199,0.000466199
2,34.6768,1.49344,2.45477,1.41141,0.79838,0.04762,0.13951,0.07647,2.13663,4.01479,1.5912,0.00092387,0.00092387,0.00092387
3,44.9805,1.43558,2.02131,1.37948,0.45615,0.23031,0.16866,0.09114,2.13391,4.53558,1.68984,0.00136268,0.00136268,0.00136268
4,54.9646,1.42823,1.83376,1.34096,0.43582,0.34612,0.14871,0.08601,1.98143,4.6577,1.58021,0.00134412,0.00134412,0.00134412
5,64.886,1.37505,1.66678,1.32243,0.44456,0.32675,0.18127,0.10627,2.04209,5.83485,1.59672,0.00131582,0.00131582,0.00131582
6,74.8217,1.37084,1.56932,1.30439,0.45182,0.61317,0.48806,0.26721,1.78625,2.41747,1.36309,0.00128753,0.00128753,0.00128753
7,84.8662,1.34775,1.49554,1.29578,0.49412,0.60623,0.52929,0.29261,1.77381,1.71043,1.32556,0.00125923,0.00125923,0.00125923
8,94.9386,1.32736,1.46081,1.29872,0.46285,0.60951,0.47613,0.26481,1.8333,2.47869,1.3782,0.00123094,0.00123094,0.00123094
9,104.775,1.33847,1.43004,1.28676,0.44356,0.55527,0.45916,0.25856,1.7482,2.1381,1.30405,0.00120265,0.00120265,0.00120265
10,114.504,1.326,1.40506,1.26583,0.5251,0.58014,0.53339,0.29936,1.73121,1.85424,1.30387,0.00117435,0.00117435,0.00117435
11,124.587,1.30884,1.36812,1.25592,0.545,0.64615,0.58606,0.33521,1.73574,1.59343,1.30398,0.00114606,0.00114606,0.00114606
12,134.416,1.31105,1.33729,1.25615,0.50736,0.56581,0.51559,0.29126,1.74164,1.85897,1.31404,0.00111776,0.00111776,0.00111776
13,144.221,1.28301,1.30321,1.25507,0.54872,0.57394,0.56473,0.34115,1.68786,1.70567,1.27538,0.00108947,0.00108947,0.00108947
14,154.199,1.27744,1.30146,1.24731,0.53885,0.64094,0.61878,0.36389,1.66433,1.63011,1.264,0.00106118,0.00106118,0.00106118
15,163.948,1.26154,1.27535,1.22743,0.52695,0.66058,0.57258,0.3318,1.69569,1.82873,1.28012,0.00103288,0.00103288,0.00103288
16,173.758,1.29179,1.29425,1.22784,0.28882,0.61262,0.22313,0.12175,1.76291,3.92266,1.31402,0.00100459,0.00100459,0.00100459
17,183.505,1.24884,1.24757,1.22322,0.52185,0.62886,0.59358,0.34813,1.65274,1.58197,1.24779,0.000976293,0.000976293,0.000976293
18,193.543,1.25734,1.24856,1.21374,0.58119,0.63673,0.63329,0.36532,1.66892,1.44511,1.24224,0.000947999,0.000947999,0.000947999
19,203.424,1.25503,1.22917,1.21744,0.47573,0.65238,0.53245,0.31872,1.67863,1.67038,1.26023,0.000919704,0.000919704,0.000919704
20,213.309,1.23815,1.2104,1.2085,0.53033,0.78395,0.61445,0.37261,1.61979,1.57211,1.22422,0.00089141,0.00089141,0.00089141
21,222.993,1.23643,1.20205,1.21713,0.45272,0.55706,0.45853,0.26262,1.70809,2.41989,1.28419,0.000863116,0.000863116,0.000863116
22,232.88,1.21454,1.18,1.1849,0.57354,0.34913,0.34703,0.20669,1.75012,4.32493,1.32296,0.000834822,0.000834822,0.000834822
23,242.751,1.20618,1.16586,1.17745,0.60382,0.69305,0.66237,0.38182,1.6246,1.40501,1.2305,0.000806528,0.000806528,0.000806528
24,252.35,1.21038,1.14759,1.18569,0.61054,0.6359,0.63509,0.36422,1.68862,1.47968,1.27412,0.000778233,0.000778233,0.000778233
25,261.911,1.19921,1.14793,1.19171,0.62838,0.65422,0.65111,0.3781,1.67077,1.47684,1.24723,0.000749939,0.000749939,0.000749939
26,271.734,1.18325,1.13164,1.18294,0.59501,0.71203,0.66145,0.37236,1.65459,1.35117,1.24602,0.000721645,0.000721645,0.000721645
27,281.543,1.19911,1.1233,1.17848,0.60475,0.70185,0.66254,0.39147,1.66631,1.36562,1.2465,0.000693351,0.000693351,0.000693351
28,291.429,1.17931,1.10907,1.17528,0.62827,0.63679,0.66215,0.39437,1.63482,1.39257,1.24857,0.000665057,0.000665057,0.000665057
29,301.33,1.17285,1.09764,1.16034,0.603,0.67646,0.67074,0.39785,1.64558,1.37286,1.24671,0.000636762,0.000636762,0.000636762
30,311.272,1.15366,1.07826,1.1573,0.52789,0.67089,0.61775,0.36195,1.61439,1.49957,1.24124,0.000608468,0.000608468,0.000608468
31,321.641,1.15769,1.08684,1.15165,0.60302,0.69132,0.66872,0.40477,1.60409,1.34736,1.21781,0.000580174,0.000580174,0.000580174
32,331.495,1.14737,1.05967,1.14479,0.60176,0.66309,0.65555,0.38668,1.61369,1.35735,1.22582,0.00055188,0.00055188,0.00055188
33,341.369,1.15234,1.04908,1.15671,0.56634,0.74038,0.66842,0.39774,1.6404,1.34506,1.2273,0.000523586,0.000523586,0.000523586
