epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.7986,1.77198,3.82032,1.46856,0.00038,0.02588,0.00169,0.00118,2.17715,4.61433,1.54731,0.000466199,0.000466199,0.000466199
2,34.6354,1.47908,2.40556,1.21237,0.00256,0.53522,0.20954,0.12432,1.9943,3.86982,1.34667,0.00092387,0.00092387,0.00092387
3,45.1679,1.42742,2.01554,1.19595,0.47811,0.35223,0.18832,0.10316,2.17904,3.97006,1.53746,0.00136268,0.00136268,0.00136268
4,54.9882,1.43243,1.83622,1.18146,0.36455,0.3898,0.2579,0.14117,1.94589,3.50501,1.28857,0.00134412,0.00134412,0.00134412
5,64.7971,1.3824,1.65837,1.15912,0.45577,0.47488,0.35779,0.19558,1.78517,2.30472,1.22329,0.00131582,0.00131582,0.00131582
6,74.5627,1.3667,1.56234,1.14638,0.67882,0.39543,0.47118,0.27005,1.79753,2.77898,1.24324,0.00128753,0.00128753,0.00128753
7,84.2786,1.35592,1.48672,1.13963,0.39889,0.49993,0.32087,0.17328,1.77285,2.81138,1.2085,0.00125923,0.00125923,0.00125923
8,94.0822,1.31945,1.43406,1.13333,0.64237,0.35913,0.42023,0.2339,1.80285,4.63112,1.24584,0.00123094,0.00123094,0.00123094
9,103.906,1.32896,1.40668,1.13371,0.50434,0.54668,0.44757,0.26459,1.70378,2.06201,1.15201,0.00120265,0.00120265,0.00120265
10,113.924,1.32444,1.40409,1.11904,0.49836,0.47157,0.41586,0.21834,1.79104,2.07267,1.22382,0.00117435,0.00117435,0.00117435
11,123.768,1.30149,1.36619,1.11019,0.52475,0.65415,0.58747,0.35297,1.70936,1.71692,1.17511,0.00114606,0.00114606,0.00114606
12,133.551,1.30382,1.33986,1.10467,0.57687,0.57689,0.58656,0.33749,1.66792,1.53779,1.15786,0.00111776,0.00111776,0.00111776
13,143.216,1.27352,1.28715,1.10767,0.58679,0.55511,0.58722,0.35173,1.65719,1.69383,1.14433,0.00108947,0.00108947,0.00108947
14,153.085,1.27254,1.2858,1.10199,0.58113,0.58905,0.62757,0.36879,1.66901,1.56219,1.13416,0.00106118,0.00106118,0.00106118
15,162.927,1.26327,1.28138,1.09855,0.43853,0.40694,0.3143,0.18661,1.80762,4.16538,1.22782,0.00103288,0.00103288,0.00103288
16,172.994,1.28357,1.27052,1.09564,0.56831,0.70733,0.64059,0.39332,1.61563,1.41496,1.11427,0.00100459,0.00100459,0.00100459
17,182.919,1.24777,1.23176,1.09181,0.57937,0.65166,0.62181,0.37052,1.66695,1.50484,1.12852,0.000976293,0.000976293,0.000976293
18,192.636,1.24822,1.22402,1.08236,0.55461,0.66671,0.63451,0.38307,1.67217,1.44438,1.14129,0.000947999,0.000947999,0.000947999
19,202.363,1.25142,1.20374,1.08247,0.38482,0.54433,0.35598,0.20077,1.68975,2.88899,1.1723,0.000919704,0.000919704,0.000919704
