epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.874,1.80793,3.86141,1.45781,8e-05,0.01253,0,0,2.31756,4.74793,1.59829,0.000466199,0.000466199,0.000466199
2,48.9898,1.48941,2.38117,1.22076,0.48853,0.24643,0.31728,0.19389,1.99473,3.33928,1.38813,0.000937866,0.000937866,0.000937866
3,66.1705,1.47329,2.00954,1.20458,0.42563,0.26278,0.11126,0.06069,2.1635,5.99387,1.47375,0.00140482,0.00140482,0.00140482
4,82.8071,1.43723,1.84069,1.18028,0.34983,0.40773,0.31693,0.18031,1.98353,3.01051,1.2975,0.00140778,0.00140778,0.00140778
5,100.079,1.41623,1.67901,1.1796,0.46324,0.5395,0.39714,0.22219,1.78863,2.32106,1.2037,0.00140071,0.00140071,0.00140071
6,115.834,1.3731,1.56947,1.15554,0.53855,0.5795,0.52162,0.3132,1.83968,1.89951,1.23911,0.00139363,0.00139363,0.00139363
7,130.899,1.37443,1.51722,1.15846,0.49151,0.65016,0.53885,0.32178,1.78239,1.82535,1.17477,0.00138656,0.00138656,0.00138656
8,147.054,1.38178,1.47978,1.15157,0.35863,0.47811,0.28566,0.15656,1.86551,2.56327,1.26083,0.00137949,0.00137949,0.00137949
9,163.721,1.34244,1.43994,1.13907,0.5354,0.66804,0.58395,0.34133,1.73292,1.75806,1.18053,0.00137241,0.00137241,0.00137241
10,180.288,1.32332,1.40614,1.13204,0.45569,0.31281,0.13892,0.08361,2.17614,8.23032,1.43818,0.00136534,0.00136534,0.00136534
11,196.849,1.31955,1.37999,1.13157,0.52318,0.66432,0.58355,0.33814,1.74098,1.68268,1.17862,0.00135826,0.00135826,0.00135826
12,213.817,1.32239,1.3632,1.12757,0.38469,0.6476,0.51936,0.30509,1.68677,1.97711,1.17181,0.00135119,0.00135119,0.00135119
13,229.606,1.30601,1.3248,1.11791,0.56439,0.65803,0.60786,0.3608,1.7351,1.52963,1.15782,0.00134412,0.00134412,0.00134412
14,246.594,1.29579,1.33326,1.11572,0.46009,0.40278,0.33286,0.18166,1.73522,2.83203,1.20327,0.00133704,0.00133704,0.00133704
15,262.295,1.27814,1.28717,1.11273,0.34784,0.61918,0.38171,0.2136,1.74941,2.51726,1.18491,0.00132997,0.00132997,0.00132997
16,278.074,1.2808,1.26936,1.09953,0.54948,0.685,0.62343,0.37686,1.69821,1.54376,1.15295,0.0013229,0.0013229,0.0013229
17,295.296,1.27525,1.25697,1.09958,0.60864,0.63516,0.62236,0.36714,1.68604,1.45197,1.15714,0.00131582,0.00131582,0.00131582
18,312.881,1.28781,1.26481,1.10765,0.51234,0.6207,0.55059,0.32738,1.79385,1.85976,1.20004,0.00130875,0.00130875,0.00130875
19,328.977,1.27017,1.23961,1.09663,0.55985,0.66974,0.60943,0.36209,1.65957,1.4599,1.13758,0.00130168,0.00130168,0.00130168
20,345.671,1.25774,1.23133,1.09927,0.55791,0.63336,0.59821,0.35945,1.68807,1.51534,1.16627,0.0012946,0.0012946,0.0012946
21,362.784,1.24734,1.22811,1.08799,0.32205,0.60086,0.28641,0.16681,1.70624,3.89651,1.18488,0.00128753,0.00128753,0.00128753
22,378.046,1.22834,1.18444,1.08646,0.33043,0.68501,0.31883,0.18226,1.75843,3.16005,1.19036,0.00128046,0.00128046,0.00128046
23,394.553,1.24967,1.19984,1.09039,0.57167,0.64154,0.6083,0.35891,1.64497,1.65284,1.13631,0.00127338,0.00127338,0.00127338
24,411.343,1.25317,1.19845,1.09193,0.57936,0.69924,0.61951,0.36706,1.66465,1.48634,1.14036,0.00126631,0.00126631,0.00126631
25,428.167,1.24427,1.17569,1.0888,0.60389,0.66195,0.64718,0.37344,1.7056,1.4411,1.14691,0.00125923,0.00125923,0.00125923
