epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.724,1.84046,4.09559,1.64425,0.00057,0.04762,0.00651,0.00111,2.26823,4.73504,1.63451,0.000466199,0.000466199,0.000466199
2,34.2643,1.48811,2.45548,1.34084,0.57707,0.10236,0.23794,0.12742,2.08576,3.54943,1.37925,0.00092387,0.00092387,0.00092387
3,44.3624,1.41918,2.03464,1.30895,0.47729,0.30851,0.20212,0.11575,1.9583,3.70965,1.44681,0.00136268,0.00136268,0.00136268
4,54.2951,1.42177,1.84601,1.28978,0.33085,0.41146,0.25508,0.14307,2.02328,2.88402,1.44846,0.00134412,0.00134412,0.00134412
5,64.0442,1.37909,1.6773,1.27021,0.52078,0.35116,0.25191,0.14197,1.85112,3.0849,1.34163,0.00131582,0.00131582,0.00131582
6,74.0473,1.35902,1.55861,1.24637,0.57037,0.57761,0.55375,0.30963,1.76255,1.80146,1.30038,0.00128753,0.00128753,0.00128753
7,83.9628,1.33804,1.48432,1.24295,0.4633,0.54925,0.45784,0.25933,1.73859,2.15663,1.28728,0.00125923,0.00125923,0.00125923
8,93.8728,1.31833,1.44916,1.23496,0.52272,0.5177,0.48499,0.27094,1.74639,1.76351,1.28286,0.00123094,0.00123094,0.00123094
9,103.712,1.32159,1.42162,1.22807,0.43014,0.49507,0.36949,0.21711,1.74067,2.89765,1.30248,0.00120265,0.00120265,0.00120265
10,113.66,1.32028,1.39829,1.20974,0.58294,0.55636,0.57981,0.31198,1.76067,1.73669,1.29476,0.00117435,0.00117435,0.00117435
11,123.861,1.29623,1.37367,1.20191,0.50551,0.70895,0.60217,0.34016,1.75057,1.62733,1.27973,0.00114606,0.00114606,0.00114606
12,133.682,1.31392,1.33456,1.19628,0.60003,0.57883,0.5733,0.32012,1.71815,1.60766,1.2433,0.00111776,0.00111776,0.00111776
13,143.486,1.28708,1.29643,1.20211,0.59759,0.47163,0.52621,0.31079,1.6841,1.835,1.24003,0.00108947,0.00108947,0.00108947
14,153.366,1.26538,1.28932,1.18775,0.59519,0.62995,0.64018,0.384,1.6956,1.6153,1.23097,0.00106118,0.00106118,0.00106118
15,163.205,1.25934,1.28903,1.17632,0.54639,0.62338,0.6221,0.3709,1.66344,1.63775,1.1948,0.00103288,0.00103288,0.00103288
16,173.067,1.28394,1.27946,1.17317,0.53715,0.64025,0.60444,0.34834,1.65454,1.59414,1.20645,0.00100459,0.00100459,0.00100459
17,182.967,1.25055,1.24231,1.17162,0.41376,0.62504,0.49573,0.27761,1.70436,2.54803,1.25442,0.000976293,0.000976293,0.000976293
18,193.027,1.25102,1.23717,1.16899,0.55,0.60341,0.61741,0.34647,1.65651,1.55576,1.21787,0.000947999,0.000947999,0.000947999
19,202.719,1.24776,1.20979,1.16192,0.54457,0.56479,0.53767,0.30353,1.73284,1.76675,1.24942,0.000919704,0.000919704,0.000919704
20,212.488,1.23806,1.21256,1.157,0.58683,0.71083,0.6428,0.38043,1.65879,1.47858,1.19899,0.00089141,0.00089141,0.00089141
21,222.245,1.23346,1.19912,1.15704,0.44893,0.50871,0.36799,0.21217,1.73693,2.71019,1.27292,0.000863116,0.000863116,0.000863116
22,231.953,1.20762,1.18247,1.13263,0.44053,0.60414,0.4983,0.28368,1.70234,2.43489,1.23492,0.000834822,0.000834822,0.000834822
23,241.741,1.20286,1.15243,1.12928,0.61021,0.61667,0.65625,0.39331,1.67972,1.47503,1.2055,0.000806528,0.000806528,0.000806528
24,251.555,1.20919,1.14614,1.12945,0.62243,0.62043,0.66663,0.39257,1.65441,1.45853,1.21007,0.000778233,0.000778233,0.000778233
25,261.265,1.18899,1.14702,1.12898,0.54085,0.60062,0.59005,0.33568,1.714,2.18317,1.2423,0.000749939,0.000749939,0.000749939
26,271.293,1.18223,1.11954,1.12583,0.61652,0.66227,0.66551,0.38066,1.6672,1.40962,1.20995,0.000721645,0.000721645,0.000721645
27,281.087,1.19525,1.11879,1.12675,0.5675,0.61131,0.62767,0.36977,1.67215,1.60471,1.21209,0.000693351,0.000693351,0.000693351
28,290.931,1.17844,1.1185,1.11398,0.64432,0.68486,0.68711,0.38925,1.64356,1.34538,1.18647,0.000665057,0.000665057,0.000665057
29,300.738,1.15894,1.08991,1.10183,0.63246,0.62785,0.65711,0.3787,1.6901,1.42045,1.21064,0.000636762,0.000636762,0.000636762
