epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.898,1.82074,3.79095,1.45647,0.00108,0.2119,0.00067,0.00013,2.16156,4.53314,1.42724,0.000466199,0.000466199,0.000466199
2,32.9529,1.50397,2.41198,1.21253,0.65503,0.06754,0.21227,0.11796,2.18338,3.7834,1.35124,0.000937866,0.000937866,0.000937866
3,42.8261,1.44927,2.03142,1.19477,0.37181,0.35789,0.04879,0.02469,2.31344,8.46548,1.54232,0.00140482,0.00140482,0.00140482
4,52.2745,1.44892,1.8216,1.176,0.37262,0.5468,0.4205,0.2423,1.93817,2.35582,1.24408,0.00140778,0.00140778,0.00140778
5,61.7343,1.39628,1.66069,1.16131,0.45894,0.58538,0.44406,0.25319,1.81489,2.00264,1.22149,0.00140071,0.00140071,0.00140071
6,71.2641,1.38788,1.55807,1.15494,0.36606,0.36398,0.29666,0.17084,1.86614,3.69259,1.26383,0.00139363,0.00139363,0.00139363
7,80.8308,1.35704,1.47127,1.13582,0.39755,0.5042,0.39784,0.2306,1.78099,2.07801,1.19281,0.00138656,0.00138656,0.00138656
8,90.3316,1.3437,1.43822,1.14175,0.63155,0.41839,0.57317,0.32076,1.79388,2.70153,1.20567,0.00137949,0.00137949,0.00137949
9,100.01,1.35343,1.41727,1.14319,0.46887,0.58442,0.47669,0.27232,1.81505,1.81007,1.17814,0.00137241,0.00137241,0.00137241
10,109.482,1.34515,1.39984,1.11972,0.52581,0.61069,0.5533,0.32017,1.74941,1.71646,1.16745,0.00136534,0.00136534,0.00136534
11,119.119,1.31949,1.36278,1.11815,0.47426,0.71999,0.57731,0.34146,1.78453,1.7645,1.19053,0.00135826,0.00135826,0.00135826
12,128.045,1.33056,1.34395,1.11281,0.57644,0.63581,0.59347,0.34537,1.6914,1.54671,1.15407,0.00135119,0.00135119,0.00135119
13,137.465,1.29614,1.29676,1.11153,0.60806,0.59624,0.61449,0.36321,1.72109,1.61368,1.14258,0.00134412,0.00134412,0.00134412
14,146.952,1.30126,1.3065,1.11342,0.58955,0.5758,0.60769,0.35188,1.69561,1.55973,1.1406,0.00133704,0.00133704,0.00133704
15,156.386,1.28347,1.29973,1.1058,0.45997,0.34267,0.19637,0.11886,2.02725,5.39411,1.34722,0.00132997,0.00132997,0.00132997
16,165.917,1.30116,1.28927,1.10593,0.5813,0.57023,0.55387,0.33513,1.78498,1.88481,1.17085,0.0013229,0.0013229,0.0013229
17,175.345,1.28031,1.25821,1.10787,0.3387,0.51449,0.20875,0.11748,1.83794,4.78917,1.24646,0.00131582,0.00131582,0.00131582
18,184.923,1.2794,1.25536,1.09592,0.32875,0.61002,0.34133,0.19715,1.81579,3.74594,1.19863,0.00130875,0.00130875,0.00130875
19,194.369,1.27928,1.23972,1.09704,0.57825,0.69115,0.6308,0.36014,1.72858,1.5312,1.14977,0.00130168,0.00130168,0.00130168
20,203.832,1.2708,1.23435,1.09226,0.52977,0.75067,0.63741,0.37921,1.64934,1.66242,1.11749,0.0012946,0.0012946,0.0012946
21,213.299,1.26177,1.22964,1.09629,0.46603,0.63361,0.58668,0.34067,1.73056,1.88615,1.15008,0.00128753,0.00128753,0.00128753
22,222.748,1.24122,1.20934,1.07787,0.28892,0.75546,0.40431,0.22961,1.74827,3.50255,1.18729,0.00128046,0.00128046,0.00128046
23,232.145,1.25193,1.19377,1.08518,0.57895,0.63035,0.62258,0.36491,1.70466,1.49059,1.15238,0.00127338,0.00127338,0.00127338
24,241.571,1.23933,1.184,1.08189,0.58113,0.66136,0.64592,0.3591,1.72132,1.47383,1.15336,0.00126631,0.00126631,0.00126631
25,250.94,1.23769,1.1781,1.07962,0.45321,0.61934,0.51487,0.29782,1.72081,2.36941,1.17021,0.00125923,0.00125923,0.00125923
26,260.542,1.22884,1.15595,1.0855,0.60666,0.67632,0.65506,0.3833,1.68009,1.43766,1.13463,0.00125216,0.00125216,0.00125216
27,269.947,1.24195,1.16039,1.07914,0.62208,0.6331,0.65216,0.38297,1.70084,1.44554,1.15633,0.00124509,0.00124509,0.00124509
28,279.361,1.21946,1.14787,1.07207,0.61762,0.63931,0.66759,0.39426,1.69359,1.44167,1.14184,0.00123801,0.00123801,0.00123801
29,288.768,1.22143,1.15195,1.06667,0.47357,0.58657,0.52261,0.2997,1.68488,2.01136,1.13959,0.00123094,0.00123094,0.00123094
30,298.178,1.20539,1.11144,1.06885,0.34991,0.69928,0.47961,0.2598,1.77395,2.64292,1.21465,0.00122387,0.00122387,0.00122387
31,307.625,1.21068,1.13709,1.07081,0.61282,0.66381,0.6886,0.40697,1.66606,1.40587,1.13349,0.00121679,0.00121679,0.00121679
32,317.06,1.20367,1.11421,1.0612,0.63385,0.63879,0.67447,0.3973,1.67593,1.46841,1.13811,0.00120972,0.00120972,0.00120972
33,326.69,1.20141,1.11022,1.06603,0.61855,0.66161,0.66372,0.38585,1.69729,1.41106,1.1376,0.00120265,0.00120265,0.00120265
34,336.174,1.19349,1.1103,1.05683,0.59777,0.73675,0.69299,0.39886,1.70627,1.4491,1.12883,0.00119557,0.00119557,0.00119557
35,345.651,1.21768,1.10371,1.06689,0.44014,0.46456,0.31872,0.18083,1.80142,4.00857,1.24103,0.0011885,0.0011885,0.0011885
36,355.152,1.18007,1.08204,1.05079,0.62994,0.63088,0.67121,0.39182,1.70107,1.40995,1.14955,0.00118143,0.00118143,0.00118143
37,364.536,1.18954,1.08332,1.05524,0.51603,0.58907,0.53612,0.30216,1.73899,2.06461,1.17454,0.00117435,0.00117435,0.00117435
38,373.997,1.18404,1.08169,1.05193,0.6225,0.6196,0.64633,0.36635,1.72919,1.56828,1.15153,0.00116728,0.00116728,0.00116728
39,383.471,1.16421,1.06753,1.04534,0.58911,0.58989,0.62399,0.35876,1.71152,1.57432,1.16196,0.00116021,0.00116021,0.00116021
40,393.108,1.16702,1.05404,1.04367,0.63648,0.66987,0.68345,0.39895,1.66746,1.38479,1.14798,0.00115313,0.00115313,0.00115313
41,402.523,1.16136,1.04914,1.04557,0.57312,0.63564,0.61446,0.36118,1.70972,1.71784,1.15756,0.00114606,0.00114606,0.00114606
42,411.971,1.14858,1.02989,1.03813,0.63971,0.67277,0.71059,0.41134,1.65923,1.35497,1.13106,0.00113898,0.00113898,0.00113898
43,421.347,1.14361,1.03636,1.0345,0.5131,0.69261,0.65465,0.38166,1.7129,1.58915,1.15368,0.00113191,0.00113191,0.00113191
