epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.4363,2.48337,4.54563,1.97081,0,0,0,0,3.12088,5.57037,2.21306,0.000466199,0.000466199,0.000466199
2,34.9905,1.58918,2.64971,1.27612,0.41427,0.03672,0.02974,0.01378,3.08533,4.6474,2.27834,0.00092387,0.00092387,0.00092387
3,44.9873,1.4865,2.13019,1.23469,0.4259,0.50088,0.3566,0.20477,1.96555,2.62815,1.30642,0.00136268,0.00136268,0.00136268
4,54.9534,1.45663,1.88906,1.20952,0.44297,0.488,0.39818,0.22714,2.04859,2.16441,1.38483,0.00134412,0.00134412,0.00134412
5,64.7665,1.41767,1.73203,1.19634,0.40526,0.55645,0.46186,0.26523,1.85092,2.17391,1.29785,0.00131582,0.00131582,0.00131582
6,74.6643,1.38179,1.61259,1.17275,0.53681,0.54006,0.50579,0.29506,1.81501,1.95478,1.26976,0.00128753,0.00128753,0.00128753
7,84.5326,1.36465,1.51849,1.16428,0.44527,0.37851,0.19252,0.10472,1.92149,5.95721,1.30095,0.00125923,0.00125923,0.00125923
8,94.4171,1.33939,1.4778,1.15976,0.24393,0.65983,0.2925,0.16655,1.79725,3.61018,1.28324,0.00123094,0.00123094,0.00123094
9,104.209,1.34381,1.4542,1.15786,0.4572,0.55577,0.44971,0.26799,1.76123,1.96043,1.21242,0.00120265,0.00120265,0.00120265
10,113.956,1.34315,1.44938,1.13779,0.50532,0.63794,0.56179,0.32277,1.68656,1.65616,1.18056,0.00117435,0.00117435,0.00117435
11,123.937,1.32797,1.41014,1.1367,0.61187,0.4264,0.42145,0.24504,1.78566,2.60959,1.24448,0.00114606,0.00114606,0.00114606
12,133.723,1.31732,1.38281,1.12851,0.53955,0.61265,0.55211,0.32713,1.69179,1.66507,1.17957,0.00111776,0.00111776,0.00111776
13,143.752,1.29623,1.34028,1.12677,0.50975,0.65779,0.56702,0.33989,1.69683,1.63588,1.16863,0.00108947,0.00108947,0.00108947
14,153.745,1.28001,1.32888,1.11445,0.41876,0.58889,0.52812,0.30573,1.68637,1.90028,1.17816,0.00106118,0.00106118,0.00106118
15,163.606,1.27239,1.33396,1.11114,0.36054,0.45384,0.22524,0.13616,1.75742,4.57406,1.23554,0.00103288,0.00103288,0.00103288
16,173.538,1.28752,1.30678,1.1074,0.46212,0.27965,0.15952,0.09277,1.87254,5.19051,1.31662,0.00100459,0.00100459,0.00100459
17,183.464,1.26219,1.28577,1.10559,0.55632,0.63632,0.58445,0.34731,1.69199,1.63183,1.14318,0.000976293,0.000976293,0.000976293
18,193.783,1.27424,1.27956,1.10266,0.5806,0.616,0.60291,0.34409,1.71158,1.54534,1.16561,0.000947999,0.000947999,0.000947999
19,203.561,1.26928,1.26204,1.09909,0.45059,0.36489,0.16999,0.09395,1.84086,5.18157,1.3098,0.000919704,0.000919704,0.000919704
20,213.308,1.25741,1.23626,1.09448,0.4942,0.74337,0.57759,0.34282,1.67115,1.79442,1.13109,0.00089141,0.00089141,0.00089141
21,223.211,1.24551,1.23519,1.09782,0.60326,0.62922,0.62547,0.37552,1.66905,1.58531,1.171,0.000863116,0.000863116,0.000863116
22,233.102,1.22592,1.20956,1.07813,0.37755,0.61697,0.46099,0.27878,1.63348,2.13148,1.14732,0.000834822,0.000834822,0.000834822
23,242.914,1.21914,1.19356,1.0787,0.56075,0.56412,0.57855,0.33949,1.64541,1.54402,1.14818,0.000806528,0.000806528,0.000806528
