epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.4548,1.83684,3.91031,1.62101,0.00037,0.03089,5e-05,1e-05,2.37627,4.83717,1.7098,0.000466199,0.000466199,0.000466199
2,35.0649,1.50153,2.43898,1.33291,0.61074,0.1834,0.31799,0.18123,1.9985,3.12945,1.37477,0.000942172,0.000942172,0.000942172
3,45.1855,1.42667,2.00655,1.29802,0.33504,0.33327,0.15137,0.07829,2.04995,4.92209,1.47686,0.0014167,0.0014167,0.0014167
4,55.3564,1.43229,1.82874,1.27613,0.41652,0.26767,0.14102,0.08575,2.27102,4.18135,1.71704,0.0014241,0.0014241,0.0014241
5,65.139,1.38149,1.6656,1.25729,0.40041,0.53897,0.43909,0.2566,1.78917,2.06064,1.28335,0.00142029,0.00142029,0.00142029
6,74.9151,1.36163,1.56616,1.23555,0.36216,0.61911,0.43753,0.24581,1.81988,2.00328,1.29064,0.00141541,0.00141541,0.00141541
7,84.7465,1.34931,1.48924,1.23038,0.50536,0.59747,0.51088,0.28257,1.79856,1.80075,1.26878,0.00140946,0.00140946,0.00140946
8,94.5191,1.33402,1.46357,1.23069,0.43017,0.63571,0.45132,0.2518,1.74871,2.30918,1.3098,0.00140244,0.00140244,0.00140244
9,104.331,1.33917,1.42887,1.22461,0.49844,0.69946,0.56093,0.32296,1.69069,1.57134,1.2191,0.00139438,0.00139438,0.00139438
10,114.175,1.33326,1.40808,1.20565,0.34086,0.45294,0.22923,0.13011,1.81026,4.08814,1.33332,0.00138528,0.00138528,0.00138528
11,123.895,1.31096,1.37936,1.19539,0.4681,0.75495,0.57377,0.34206,1.67767,1.8492,1.21881,0.00137516,0.00137516,0.00137516
12,134.012,1.32092,1.35598,1.19087,0.51051,0.60949,0.52699,0.28186,1.8032,1.69963,1.27167,0.00136402,0.00136402,0.00136402
13,143.786,1.29108,1.31591,1.18988,0.51526,0.64931,0.55531,0.31651,1.65242,1.65841,1.20185,0.0013519,0.0013519,0.0013519
14,153.56,1.28298,1.31773,1.18444,0.49799,0.53205,0.48666,0.27156,1.73317,2.42853,1.23612,0.00133881,0.00133881,0.00133881
15,163.415,1.28186,1.29697,1.17998,0.45858,0.54016,0.44177,0.26129,1.70539,2.37248,1.24301,0.00132476,0.00132476,0.00132476
16,173.122,1.29753,1.30032,1.17578,0.56156,0.61621,0.58131,0.31863,1.71925,1.69208,1.22364,0.00130979,0.00130979,0.00130979
17,182.928,1.25808,1.27686,1.16747,0.32898,0.68317,0.46494,0.26528,1.74458,2.73725,1.23475,0.00129391,0.00129391,0.00129391
18,192.66,1.27,1.26407,1.16143,0.49611,0.61822,0.563,0.32544,1.67996,1.76756,1.19552,0.00127714,0.00127714,0.00127714
