epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.7297,1.8382,4.26188,1.74917,0.00018,0.02506,0.00017,4e-05,2.2089,4.64732,1.66952,0.000466199,0.000466199,0.000466199
2,35.1799,1.55579,2.68479,1.53605,0.65622,0.14647,0.24737,0.13299,2.00435,3.86362,1.51196,0.00092387,0.00092387,0.00092387
3,45.0355,1.47594,2.15516,1.50596,0.57187,0.46937,0.40762,0.23525,1.90956,2.63127,1.48172,0.00136268,0.00136268,0.00136268
4,54.8859,1.47671,1.94914,1.47547,0.28724,0.52659,0.31781,0.16988,1.91735,2.37809,1.46544,0.00134412,0.00134412,0.00134412
5,64.6324,1.43329,1.78593,1.42452,0.50168,0.51839,0.43251,0.24729,1.85937,2.55789,1.4244,0.00131582,0.00131582,0.00131582
6,74.1418,1.40964,1.64631,1.40984,0.4623,0.3386,0.1663,0.09666,1.87685,4.31706,1.43974,0.00128753,0.00128753,0.00128753
7,83.6472,1.37953,1.60005,1.41052,0.4704,0.58161,0.5054,0.29926,1.77237,2.14579,1.37563,0.00125923,0.00125923,0.00125923
8,93.3184,1.37842,1.54589,1.38879,0.393,0.6594,0.48875,0.28814,1.74718,1.93904,1.35517,0.00123094,0.00123094,0.00123094
9,102.79,1.35323,1.46651,1.37819,0.55645,0.6495,0.55616,0.31385,1.75697,1.79106,1.35906,0.00120265,0.00120265,0.00120265
10,112.39,1.33395,1.42912,1.37037,0.54841,0.60905,0.57401,0.35051,1.70944,1.87828,1.33307,0.00117435,0.00117435,0.00117435
11,122.159,1.33539,1.38746,1.34947,0.42063,0.59439,0.52827,0.2974,1.76265,1.81158,1.37176,0.00114606,0.00114606,0.00114606
12,131.794,1.34038,1.38802,1.35487,0.50271,0.68944,0.59399,0.33259,1.7594,1.77486,1.37446,0.00111776,0.00111776,0.00111776
13,141.464,1.29845,1.35213,1.33846,0.48848,0.64544,0.59756,0.34622,1.71265,1.77352,1.35123,0.00108947,0.00108947,0.00108947
14,151.192,1.31999,1.34153,1.34541,0.54463,0.56706,0.58605,0.33095,1.7199,1.5557,1.34585,0.00106118,0.00106118,0.00106118
15,160.771,1.31166,1.31972,1.33544,0.37784,0.52454,0.41305,0.21856,1.75423,2.31481,1.36088,0.00103288,0.00103288,0.00103288
16,170.379,1.28542,1.27873,1.32715,0.48165,0.63001,0.58432,0.33724,1.74494,1.61629,1.35276,0.00100459,0.00100459,0.00100459
17,180.288,1.28423,1.28889,1.3205,0.55787,0.55828,0.55379,0.3163,1.73012,1.92112,1.34109,0.000976293,0.000976293,0.000976293
18,189.992,1.27684,1.26564,1.32028,0.58589,0.65604,0.63674,0.37536,1.7077,1.46592,1.32159,0.000947999,0.000947999,0.000947999
19,199.542,1.2678,1.25321,1.30687,0.59655,0.62664,0.64628,0.37841,1.67723,1.44335,1.29334,0.000919704,0.000919704,0.000919704
20,209.229,1.25031,1.21095,1.30942,0.32241,0.62177,0.31821,0.18131,1.7506,3.2032,1.3451,0.00089141,0.00089141,0.00089141
21,218.789,1.2614,1.23882,1.29821,0.60859,0.67401,0.67031,0.37402,1.67886,1.42414,1.31657,0.000863116,0.000863116,0.000863116
22,228.389,1.24152,1.21115,1.30458,0.56545,0.71144,0.6434,0.38489,1.69117,1.46818,1.32369,0.000834822,0.000834822,0.000834822
23,237.97,1.25795,1.21659,1.28771,0.58705,0.66418,0.6644,0.37594,1.65728,1.42371,1.30204,0.000806528,0.000806528,0.000806528
24,247.758,1.23449,1.17823,1.27484,0.5977,0.64343,0.65997,0.38965,1.67586,1.43166,1.31314,0.000778233,0.000778233,0.000778233
25,257.349,1.225,1.18533,1.2796,0.60624,0.6363,0.62949,0.37459,1.6684,1.63534,1.31034,0.000749939,0.000749939,0.000749939
26,266.88,1.22413,1.17611,1.27721,0.60333,0.68814,0.6578,0.38255,1.6845,1.36633,1.30264,0.000721645,0.000721645,0.000721645
27,276.429,1.21547,1.15708,1.27352,0.60548,0.63133,0.64963,0.39085,1.67702,1.52422,1.28941,0.000693351,0.000693351,0.000693351
28,285.889,1.21487,1.1334,1.27549,0.58975,0.67778,0.6699,0.38413,1.73779,1.40978,1.33807,0.000665057,0.000665057,0.000665057
29,295.538,1.20139,1.13745,1.2611,0.64096,0.64651,0.67306,0.38522,1.64168,1.35051,1.25929,0.000636762,0.000636762,0.000636762
30,305.247,1.18428,1.11248,1.24894,0.54105,0.54803,0.53913,0.30817,1.68412,1.84466,1.31552,0.000608468,0.000608468,0.000608468
31,315.073,1.18987,1.11192,1.24875,0.63597,0.60993,0.6456,0.37804,1.66199,1.41395,1.28466,0.000580174,0.000580174,0.000580174
32,324.726,1.16509,1.0925,1.23747,0.58104,0.67947,0.66597,0.38655,1.63855,1.4202,1.27491,0.00055188,0.00055188,0.00055188
33,334.379,1.17438,1.08079,1.23965,0.66233,0.6348,0.69336,0.39943,1.6708,1.40615,1.29846,0.000523586,0.000523586,0.000523586
34,344.073,1.18511,1.07819,1.23805,0.63806,0.64882,0.66122,0.37839,1.69902,1.38798,1.30694,0.000495291,0.000495291,0.000495291
35,353.688,1.1662,1.0672,1.24105,0.61366,0.64748,0.66813,0.37753,1.68591,1.3862,1.30677,0.000466997,0.000466997,0.000466997
36,363.303,1.1496,1.05441,1.22875,0.57712,0.61339,0.61481,0.33747,1.68241,1.55132,1.3099,0.000438703,0.000438703,0.000438703
37,372.858,1.13952,1.02846,1.21694,0.59438,0.67315,0.66488,0.38502,1.6445,1.37007,1.28966,0.000410409,0.000410409,0.000410409
38,382.652,1.15659,1.05449,1.20857,0.62239,0.68235,0.6846,0.39478,1.6285,1.31295,1.27903,0.000382115,0.000382115,0.000382115
39,392.306,1.12709,1.02613,1.20087,0.63601,0.63436,0.67303,0.38769,1.66507,1.40237,1.3002,0.00035382,0.00035382,0.00035382
40,402.077,1.1191,1.00318,1.19977,0.5958,0.69305,0.67596,0.39234,1.6435,1.34038,1.28382,0.000325526,0.000325526,0.000325526
41,416.82,1.11824,0.98503,1.23277,0.54512,0.59248,0.61287,0.34641,1.64448,1.46739,1.29402,0.000297232,0.000297232,0.000297232
42,426.158,1.10232,0.96308,1.22335,0.58121,0.676,0.66379,0.37933,1.65412,1.3512,1.28746,0.000268938,0.000268938,0.000268938
43,435.728,1.09813,0.9553,1.21245,0.61573,0.68427,0.68177,0.4078,1.60428,1.33836,1.26565,0.000240644,0.000240644,0.000240644
44,445.536,1.0867,0.94811,1.21013,0.61895,0.67273,0.68234,0.39708,1.61704,1.33512,1.25903,0.000212349,0.000212349,0.000212349
45,455.054,1.07774,0.92678,1.19726,0.62055,0.68809,0.67703,0.39871,1.63251,1.34992,1.25578,0.000184055,0.000184055,0.000184055
46,464.67,1.07748,0.92047,1.19335,0.64837,0.60262,0.66064,0.38732,1.64661,1.39343,1.28709,0.000155761,0.000155761,0.000155761
47,474.27,1.07309,0.92066,1.19048,0.62949,0.69309,0.6887,0.40419,1.623,1.31175,1.26271,0.000127467,0.000127467,0.000127467
48,483.851,1.06719,0.90276,1.18554,0.62572,0.69001,0.68678,0.40144,1.62939,1.35073,1.26656,9.91726e-05,9.91726e-05,9.91726e-05
49,493.616,1.05154,0.88687,1.1774,0.59776,0.70021,0.68288,0.3966,1.6255,1.33891,1.2656,7.08784e-05,7.08784e-05,7.08784e-05
50,503.223,1.05159,0.88142,1.17201,0.61766,0.69082,0.6901,0.40449,1.62453,1.32367,1.26811,4.25842e-05,4.25842e-05,4.25842e-05
