epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.3978,2.2101,4.3438,1.81223,0,0,0,0,4.51849,5.07595,2.95103,0.000466199,0.000466199,0.000466199
2,35.6827,1.60829,2.67575,1.30195,0.0002,0.04843,0.00066,0.00047,3.62941,4.38396,2.8879,0.00092387,0.00092387,0.00092387
3,46.6708,1.52359,2.19584,1.25343,0.37654,0.33039,0.23163,0.13965,2.03116,3.36098,1.40628,0.00136268,0.00136268,0.00136268
4,57.1252,1.49474,1.9673,1.22677,0.34818,0.38592,0.28502,0.16343,1.98363,2.82669,1.36285,0.00134412,0.00134412,0.00134412
5,67.7751,1.44385,1.79005,1.20259,0.24458,0.12709,0.14928,0.06952,1.90215,2.58395,1.29491,0.00131582,0.00131582,0.00131582
6,78.2296,1.4158,1.68221,1.1939,0.41586,0.5295,0.39534,0.22471,1.87694,2.10292,1.30925,0.00128753,0.00128753,0.00128753
7,88.5496,1.39656,1.57072,1.18049,0.42677,0.41136,0.24788,0.14909,2.03789,3.1884,1.42012,0.00125923,0.00125923,0.00125923
8,98.7553,1.36937,1.52919,1.17708,0.43657,0.56845,0.49637,0.27528,1.77667,2.17286,1.23749,0.00123094,0.00123094,0.00123094
9,109.051,1.3724,1.49669,1.17035,0.45326,0.60688,0.49297,0.27103,1.79216,1.76885,1.22608,0.00120265,0.00120265,0.00120265
10,119.603,1.36688,1.48319,1.15333,0.53969,0.60576,0.55103,0.29845,1.77042,1.666,1.22924,0.00117435,0.00117435,0.00117435
11,130.155,1.33506,1.43764,1.14393,0.48358,0.38906,0.27903,0.15949,1.9246,5.64625,1.32981,0.00114606,0.00114606,0.00114606
12,140.49,1.35145,1.41738,1.14045,0.56469,0.56783,0.52661,0.30332,1.75321,1.69355,1.18969,0.00111776,0.00111776,0.00111776
13,150.817,1.31041,1.37431,1.13538,0.60039,0.53498,0.56245,0.32895,1.68609,1.80634,1.18487,0.00108947,0.00108947,0.00108947
14,161.235,1.29982,1.36464,1.12567,0.49264,0.60295,0.54555,0.31483,1.6949,1.80256,1.1631,0.00106118,0.00106118,0.00106118
15,171.644,1.29916,1.35948,1.12536,0.57857,0.61673,0.59053,0.33779,1.68567,1.5181,1.17709,0.00103288,0.00103288,0.00103288
16,182.108,1.32638,1.35512,1.12495,0.57934,0.53195,0.54115,0.31,1.71664,1.68422,1.17347,0.00100459,0.00100459,0.00100459
17,192.519,1.27885,1.30854,1.11677,0.57366,0.56175,0.56496,0.33618,1.70439,1.79201,1.15362,0.000976293,0.000976293,0.000976293
18,203.181,1.28169,1.30331,1.10922,0.56087,0.64493,0.60859,0.34994,1.6956,1.61338,1.16322,0.000947999,0.000947999,0.000947999
19,213.605,1.27903,1.29343,1.1042,0.40149,0.42808,0.19348,0.11103,1.87619,4.24966,1.30986,0.000919704,0.000919704,0.000919704
20,223.947,1.2696,1.27353,1.10347,0.52467,0.6976,0.57541,0.32606,1.69324,1.63084,1.15573,0.00089141,0.00089141,0.00089141
21,234.224,1.25516,1.271,1.10556,0.49037,0.55335,0.52967,0.3196,1.7274,2.34954,1.19618,0.000863116,0.000863116,0.000863116
22,244.708,1.24866,1.2485,1.08946,0.57306,0.66983,0.63397,0.3559,1.63183,1.49694,1.1239,0.000834822,0.000834822,0.000834822
23,255.159,1.23962,1.22279,1.08793,0.57019,0.65296,0.62196,0.35431,1.63518,1.43771,1.12221,0.000806528,0.000806528,0.000806528
24,265.695,1.24342,1.20991,1.08485,0.55618,0.62387,0.58013,0.35011,1.63932,1.66472,1.13485,0.000778233,0.000778233,0.000778233
25,276.328,1.21659,1.20012,1.08113,0.53488,0.65724,0.60829,0.33895,1.68915,1.82189,1.17269,0.000749939,0.000749939,0.000749939
26,286.786,1.2083,1.18996,1.08418,0.48422,0.69353,0.5826,0.32841,1.69067,1.53988,1.1603,0.000721645,0.000721645,0.000721645
27,297.01,1.22537,1.17954,1.07521,0.58435,0.62592,0.62309,0.36387,1.68706,1.43997,1.14334,0.000693351,0.000693351,0.000693351
28,307.42,1.19702,1.17291,1.06567,0.56228,0.62719,0.6322,0.36448,1.68278,1.47798,1.1421,0.000665057,0.000665057,0.000665057
29,317.789,1.19975,1.16061,1.06407,0.58647,0.65581,0.62161,0.3657,1.65442,1.53141,1.13421,0.000636762,0.000636762,0.000636762
30,328.423,1.17509,1.11917,1.06016,0.59747,0.67555,0.63347,0.37668,1.61195,1.46043,1.12025,0.000608468,0.000608468,0.000608468
31,339.033,1.17759,1.13464,1.0579,0.60962,0.66347,0.64634,0.36817,1.6275,1.44089,1.13003,0.000580174,0.000580174,0.000580174
32,349.481,1.16857,1.10868,1.04724,0.55653,0.64211,0.61594,0.34857,1.64405,1.44289,1.13506,0.00055188,0.00055188,0.00055188
33,360.107,1.17245,1.10161,1.05432,0.5748,0.66673,0.63598,0.36707,1.63327,1.43488,1.12414,0.000523586,0.000523586,0.000523586
34,370.819,1.16453,1.09645,1.04628,0.6404,0.6647,0.66666,0.36267,1.66531,1.39204,1.15496,0.000495291,0.000495291,0.000495291
35,381.244,1.17119,1.09365,1.04957,0.62973,0.66876,0.66696,0.38324,1.59715,1.43117,1.12255,0.000466997,0.000466997,0.000466997
36,391.679,1.1462,1.06355,1.03632,0.61835,0.67564,0.67299,0.38401,1.61307,1.42768,1.12969,0.000438703,0.000438703,0.000438703
37,402.074,1.15211,1.06739,1.04309,0.61503,0.62459,0.64497,0.35547,1.62297,1.41251,1.13086,0.000410409,0.000410409,0.000410409
