epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.057,1.78439,3.77847,1.4505,0.00198,0.29543,0.10524,0.06791,2.15217,4.43177,1.49646,0.000466199,0.000466199,0.000466199
2,35.2265,1.48544,2.3714,1.21235,0.71936,0.08946,0.21783,0.12674,2.22662,3.87096,1.53628,0.000937866,0.000937866,0.000937866
3,44.9983,1.43725,1.98622,1.19962,0.39658,0.34499,0.24385,0.13274,2.02674,3.16917,1.38802,0.00140482,0.00140482,0.00140482
4,54.6795,1.42176,1.79016,1.18795,0.40252,0.62571,0.47071,0.28542,1.83573,2.05091,1.28185,0.00140778,0.00140778,0.00140778
5,64.1661,1.37727,1.63897,1.17383,0.46514,0.66471,0.50964,0.28153,1.80273,1.97413,1.24823,0.00140071,0.00140071,0.00140071
6,73.6663,1.36854,1.55673,1.15817,0.52255,0.37225,0.34752,0.19838,1.80874,4.91883,1.29518,0.00139363,0.00139363,0.00139363
7,83.1962,1.345,1.47088,1.15172,0.42391,0.62419,0.46287,0.26679,1.74651,2.2787,1.25127,0.00138656,0.00138656,0.00138656
8,92.7472,1.33439,1.43519,1.15449,0.44105,0.63489,0.50118,0.28482,1.71947,1.839,1.2275,0.00137949,0.00137949,0.00137949
9,102.305,1.35189,1.42386,1.15612,0.33808,0.54476,0.30459,0.17382,1.87157,3.83342,1.27839,0.00137241,0.00137241,0.00137241
10,111.821,1.32557,1.4014,1.12779,0.32422,0.51284,0.29794,0.16109,1.87513,3.07883,1.28028,0.00136534,0.00136534,0.00136534
11,121.517,1.30781,1.36535,1.12493,0.34964,0.47803,0.18352,0.09757,1.85711,4.90976,1.32244,0.00135826,0.00135826,0.00135826
12,131.022,1.32162,1.3494,1.12149,0.55279,0.62101,0.55789,0.31413,1.69585,1.54089,1.16821,0.00135119,0.00135119,0.00135119
13,140.56,1.28997,1.30583,1.12002,0.57277,0.59017,0.55523,0.3198,1.69335,1.65434,1.18362,0.00134412,0.00134412,0.00134412
14,150.097,1.2893,1.31098,1.11396,0.57213,0.65994,0.62421,0.37789,1.6753,1.48272,1.17687,0.00133704,0.00133704,0.00133704
15,159.584,1.27239,1.2983,1.11068,0.36293,0.64991,0.41953,0.24545,1.80501,2.90409,1.23505,0.00132997,0.00132997,0.00132997
16,169.076,1.30296,1.29445,1.1151,0.47596,0.59085,0.53292,0.31689,1.70735,1.77139,1.17594,0.0013229,0.0013229,0.0013229
17,178.505,1.26666,1.25253,1.10656,0.54468,0.6796,0.62968,0.37674,1.68164,1.57152,1.1462,0.00131582,0.00131582,0.00131582
18,188.24,1.27237,1.25584,1.09904,0.51251,0.52501,0.47606,0.26326,1.73894,2.14693,1.20591,0.00130875,0.00130875,0.00130875
19,197.651,1.2726,1.23514,1.09754,0.60179,0.62754,0.63319,0.37616,1.70679,1.42148,1.15851,0.00130168,0.00130168,0.00130168
20,207.176,1.25725,1.22293,1.09489,0.55177,0.60883,0.55814,0.31898,1.70005,1.97337,1.17582,0.0012946,0.0012946,0.0012946
21,216.619,1.2613,1.22966,1.10154,0.30442,0.6795,0.27637,0.15728,1.79802,4.89946,1.2444,0.00128753,0.00128753,0.00128753
22,226.172,1.23256,1.20533,1.08354,0.24599,0.64262,0.2183,0.12127,1.76666,4.81641,1.25001,0.00128046,0.00128046,0.00128046
23,235.579,1.23709,1.19912,1.08592,0.55147,0.67536,0.62422,0.35296,1.70036,1.53774,1.15993,0.00127338,0.00127338,0.00127338
24,245.164,1.24263,1.19142,1.0826,0.61413,0.62149,0.6201,0.37057,1.65119,1.60258,1.143,0.00126631,0.00126631,0.00126631
25,254.939,1.22857,1.18585,1.08271,0.52527,0.62907,0.61758,0.3623,1.66881,1.96853,1.15836,0.00125923,0.00125923,0.00125923
26,264.418,1.2194,1.16066,1.08521,0.58977,0.60411,0.6234,0.35964,1.68875,1.51244,1.14509,0.00125216,0.00125216,0.00125216
27,273.948,1.224,1.16275,1.07514,0.57265,0.67129,0.62937,0.37425,1.63999,1.44319,1.14344,0.00124509,0.00124509,0.00124509
28,283.479,1.21083,1.15378,1.07305,0.62953,0.58961,0.65215,0.37952,1.63447,1.39384,1.13242,0.00123801,0.00123801,0.00123801
29,292.996,1.21478,1.15422,1.07363,0.39729,0.58354,0.38924,0.21719,1.70553,3.02624,1.20953,0.00123094,0.00123094,0.00123094
30,302.468,1.19242,1.11366,1.06992,0.5469,0.7604,0.64349,0.37511,1.64291,1.5519,1.14845,0.00122387,0.00122387,0.00122387
31,311.749,1.20195,1.13434,1.07107,0.51932,0.60603,0.60774,0.34362,1.70452,1.73892,1.18992,0.00121679,0.00121679,0.00121679
32,321.411,1.19638,1.11301,1.0668,0.62597,0.6795,0.6715,0.38313,1.66848,1.36222,1.14237,0.00120972,0.00120972,0.00120972
33,330.935,1.1933,1.11349,1.06773,0.59304,0.69104,0.65925,0.38818,1.69081,1.49642,1.14174,0.00120265,0.00120265,0.00120265
34,340.471,1.19087,1.10922,1.06215,0.63518,0.65705,0.66505,0.38237,1.70866,1.4094,1.16926,0.00119557,0.00119557,0.00119557
35,349.974,1.20993,1.10398,1.0685,0.41226,0.54858,0.25347,0.14825,1.7824,4.85722,1.23963,0.0011885,0.0011885,0.0011885
36,359.525,1.16461,1.07,1.04925,0.63455,0.70854,0.67922,0.39081,1.65471,1.36783,1.14288,0.00118143,0.00118143,0.00118143
37,369.111,1.18269,1.08396,1.06243,0.60587,0.6958,0.67617,0.39414,1.63537,1.35792,1.12198,0.00117435,0.00117435,0.00117435
38,378.888,1.17364,1.07934,1.05386,0.64165,0.60187,0.63919,0.3675,1.67201,1.3842,1.15086,0.00116728,0.00116728,0.00116728
39,388.735,1.16023,1.0724,1.04909,0.54557,0.6112,0.59278,0.35861,1.65468,1.92388,1.16864,0.00116021,0.00116021,0.00116021
40,398.328,1.16538,1.04525,1.0461,0.62732,0.66605,0.6719,0.37485,1.64198,1.31806,1.15604,0.00115313,0.00115313,0.00115313
41,407.825,1.15128,1.043,1.04349,0.55852,0.58899,0.60649,0.35238,1.68735,1.73944,1.1792,0.00114606,0.00114606,0.00114606
42,417.45,1.13308,1.02138,1.03687,0.39691,0.59272,0.39447,0.22553,1.68203,2.36548,1.15527,0.00113898,0.00113898,0.00113898
43,426.934,1.13327,1.03466,1.03198,0.55651,0.71481,0.66911,0.39704,1.66905,1.36096,1.13959,0.00113191,0.00113191,0.00113191
44,436.436,1.13765,1.02358,1.03301,0.57089,0.66279,0.61347,0.34698,1.65968,1.57727,1.15003,0.00112484,0.00112484,0.00112484
45,445.945,1.11888,1.00174,1.02892,0.54398,0.61767,0.59373,0.35004,1.68334,1.52175,1.16355,0.00111776,0.00111776,0.00111776
46,455.678,1.14759,1.01308,1.04074,0.62302,0.67382,0.67813,0.39248,1.64346,1.34077,1.15313,0.00111069,0.00111069,0.00111069
47,465.237,1.13827,0.99378,1.03198,0.59311,0.70977,0.64187,0.37853,1.64144,1.44949,1.14022,0.00110362,0.00110362,0.00110362
48,474.89,1.13728,1.01467,1.03761,0.5383,0.63016,0.53133,0.30281,1.69712,1.89698,1.17631,0.00109654,0.00109654,0.00109654
49,484.422,1.13492,0.99529,1.03497,0.58049,0.70389,0.6602,0.39561,1.60009,1.39438,1.13019,0.00108947,0.00108947,0.00108947
50,493.901,1.11834,0.97507,1.02453,0.62044,0.62894,0.66785,0.39682,1.65631,1.37865,1.14222,0.0010824,0.0010824,0.0010824
51,503.365,1.12365,0.98157,1.02544,0.62883,0.69141,0.68453,0.39754,1.60712,1.34992,1.12399,0.00107532,0.00107532,0.00107532
52,512.902,1.10685,0.9546,1.01893,0.53175,0.62153,0.58093,0.34442,1.63598,1.53486,1.13862,0.00106825,0.00106825,0.00106825
53,522.611,1.10964,0.9663,1.02133,0.52051,0.6546,0.59291,0.34405,1.6413,1.55897,1.12713,0.00106118,0.00106118,0.00106118
54,532.124,1.08982,0.93023,1.01186,0.58653,0.70462,0.66031,0.39358,1.66674,1.34791,1.14735,0.0010541,0.0010541,0.0010541
55,541.685,1.09484,0.9398,1.01704,0.58533,0.66358,0.64772,0.3822,1.66948,1.38865,1.13978,0.00104703,0.00104703,0.00104703
56,551.304,1.09398,0.93919,1.01302,0.61532,0.64385,0.63087,0.36482,1.65336,1.4212,1.15427,0.00103995,0.00103995,0.00103995
57,560.771,1.09843,0.92787,1.01161,0.52877,0.72935,0.65125,0.37297,1.67726,1.40954,1.1608,0.00103288,0.00103288,0.00103288
